PP,Date,Time,Task,Auditory,Visual,epsilon,trial,TEstim,TEpp,dimstim,dimpp,taustim,taupp,C,rmse,tau,cbyrmse,dimhatstim,dimhatpp,tauhatstim,tauhatpp,permtest12,permtest21,interactdelay12,interactdelay21,surrprop12,surrprop21
1,200123,131008,3,1,0,0.7,1,0.00675367349373501,0.0046967657734962,3,3,0.608695652173913,0.608695652173913,0.441,0.509,-0.092,1.156,8,8,0.183423913043478,0.16304347826087,NaN,NaN,10,90,0.991666666666667,0.980833333333333
1,200123,131128,3,1,0,0.7,2,0.00720167516219616,-0.00442919122175645,3,3,0.652173913043478,0.652173913043478,0.541,0.652,0.027,1.206,8,8,0.203804347826087,0.183423913043478,NaN,NaN,10,90,0.993333333333333,0.5375
1,200123,131242,3,1,0,0.7,3,0.0157660294518527,-0.000877455105030567,3,3,0.652173913043478,0.630434782608696,0.404,0.542,-0.032,1.343,8,8,0.183423913043478,0.183423913043478,NaN,NaN,10,90,1,0.81
1,200123,131358,3,1,0,0.7,4,0.00494830696663873,-0.00474956748447686,3,3,0.58695652173913,0.58695652173913,0.426,0.541,-0.038,1.268,8,8,0.183423913043478,0.142663043478261,NaN,NaN,10,90,0.975833333333333,0.509166666666667
1,200123,131511,3,1,0,0.7,5,0.0204273493576899,0.00429303168493989,3,3,0.58695652173913,0.543478260869565,0.312,0.477,-0.128,1.53,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,1,0.976666666666667
1,200123,131634,3,1,0,0.7,6,0.0102871074791757,0.00452777029657603,3,3,0.58695652173913,0.565217391304348,0.353,0.532,-0.088,1.509,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,0.999166666666667,0.978333333333333
1,200123,131749,3,1,0,0.7,7,0.0135841721474019,0.00481008465028454,3,3,0.565217391304348,0.565217391304348,0.401,0.538,-0.091,1.341,8,8,0.16304347826087,0.142663043478261,NaN,NaN,10,90,1,0.981666666666667
1,200123,131900,3,1,0,0.7,8,0.0234094362456456,-0.00158967383726583,3,3,0.565217391304348,0.543478260869565,0.266,0.438,-0.175,1.647,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,1,0.768333333333333
1,200123,132015,3,1,0,0.7,9,0.0156727409138915,-0.00165515284871431,3,3,0.565217391304348,0.565217391304348,0.332,0.537,-0.193,1.619,8,8,0.16304347826087,0.101902173913043,NaN,NaN,10,90,1,0.764166666666667
1,200123,132124,3,1,0,0.7,10,0.0251273788044617,-0.0031314785973322,3,3,0.565217391304348,0.565217391304348,0.337,0.507,-0.148,1.503,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,1,0.653333333333333
1,200123,132545,3,1,0,0.7,11,0.0204205728781319,-0.00316947469538187,3,3,0.565217391304348,0.565217391304348,0.521,0.553,-0.126,1.062,8,8,0.16304347826087,0.142663043478261,NaN,NaN,10,90,1,0.65
1,200123,132702,3,1,0,0.7,12,0.0192641326034377,0.00117166292878679,3,3,0.630434782608696,0.630434782608696,0.524,0.561,0.049,1.07,8,8,0.183423913043478,0.16304347826087,NaN,NaN,10,90,1,0.905
1,200123,132815,3,1,0,0.7,13,0.0213980355972037,0.00203918138865533,3,3,0.608695652173913,0.630434782608696,0.379,0.45,0.047,1.188,8,8,0.183423913043478,0.16304347826087,NaN,NaN,10,90,1,0.935833333333333
1,200123,132929,3,1,0,0.7,14,0.0145981034140008,0.00199477195297426,3,3,0.58695652173913,0.58695652173913,0.464,0.555,-0.064,1.195,8,8,0.183423913043478,0.142663043478261,NaN,NaN,10,90,1,0.933333333333333
1,200123,133039,3,1,0,0.7,15,0.01974593990216,0.0029623771964431,3,3,0.58695652173913,0.58695652173913,0.372,0.55,-0.131,1.48,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,1,0.955833333333333
1,200123,133150,3,1,0,0.7,16,0.0200704034468233,-0.00718706691202997,3,3,0.543478260869565,0.565217391304348,0.324,0.524,-0.213,1.617,8,8,0.16304347826087,0.101902173913043,NaN,NaN,10,90,1,0.251666666666667
1,200123,133300,3,1,0,0.7,17,0.0169682230828703,0.00065954983734362,3,3,0.565217391304348,0.565217391304348,0.433,0.568,-0.076,1.313,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,1,0.889166666666667
1,200123,133410,3,1,0,0.7,18,0.023111815202127,-0.0107909608897734,3,3,0.565217391304348,0.565217391304348,0.32,0.518,-0.228,1.617,8,8,0.16304347826087,0.101902173913043,NaN,NaN,10,90,1,0.0525
1,200123,133521,3,1,0,0.7,19,0.0150829924171638,-0.00754705383050958,3,3,0.58695652173913,0.565217391304348,0.429,0.551,-0.18,1.285,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,1,0.2225
1,200123,133632,3,1,0,0.7,20,0.0230278582394126,-0.00510077965402789,3,3,0.608695652173913,0.565217391304348,0.388,0.499,-0.13,1.285,8,8,0.183423913043478,0.122282608695652,NaN,NaN,10,90,1,0.4725
1,200123,134111,3,1,0,0.7,21,0.0169837932948171,-0.00928411831010645,3,3,0.58695652173913,0.565217391304348,0.468,0.613,-0.195,1.309,8,8,0.16304347826087,0.122282608695652,NaN,NaN,10,90,1,0.125833333333333
1,200123,134225,3,1,0,0.7,22,0.00989741399375443,-0.00114165285583701,3,3,0.565217391304348,0.565217391304348,0.527,0.555,-0.168,1.052,8,8,0.183423913043478,0.16304347826087,NaN,NaN,10,90,0.998333333333333,0.798333333333333
