PP,Date,Time,Task,Auditory,Visual,epsilon,trial,TEstim,TEpp,dimstim,dimpp,taustim,taupp,C,rmse,tau,cbyrmse,dimhatstim,dimhatpp,tauhatstim,tauhatpp,permtest12,permtest21,interactdelay12,interactdelay21,surrprop12,surrprop21
1,200123,131008,3,1,0,0.7,1,0.0135364939977396,0.00634686591520039,3,3,0.304347826086957,0.304347826086957,0.441,0.509,-0.092,1.156,5,5,0.183423913043478,0.16304347826087,NaN,NaN,150,10,0.99,0.9925
1,200123,131128,3,1,0,0.7,2,0.0121507445935496,0.00376833323642844,3,3,0.326086956521739,0.326086956521739,0.541,0.652,0.027,1.206,5,5,0.193614130434783,0.183423913043478,NaN,NaN,150,10,0.9825,0.97
1,200123,131242,3,1,0,0.7,3,0.0136953932699884,0.000922515886990549,3,3,0.326086956521739,0.315217391304348,0.404,0.542,-0.032,1.343,5,5,0.183423913043478,0.173233695652174,NaN,NaN,150,10,0.99,0.89
1,200123,131358,3,1,0,0.7,4,-0.00226666106593965,0.000944945750384951,3,3,0.293478260869565,0.293478260869565,0.426,0.541,-0.038,1.268,5,5,0.173233695652174,0.152853260869565,NaN,NaN,150,10,0.5875,0.89
1,200123,131511,3,1,0,0.7,5,0.00852734312371339,-0.00636112974246128,3,3,0.293478260869565,0.271739130434783,0.312,0.477,-0.128,1.53,5,5,0.16304347826087,0.132472826086957,NaN,NaN,150,10,0.9525,0.3075
1,200123,131634,3,1,0,0.7,6,0.008500671432212,-0.000384880823908862,3,3,0.282608695652174,0.293478260869565,0.353,0.532,-0.088,1.509,5,5,0.16304347826087,0.122282608695652,NaN,NaN,150,10,0.9525,0.8
1,200123,131749,3,1,0,0.7,7,0.0110324977544005,0.00224601344050201,3,3,0.282608695652174,0.282608695652174,0.401,0.538,-0.091,1.341,5,5,0.16304347826087,0.132472826086957,NaN,NaN,150,10,0.9725,0.9275
1,200123,131900,3,1,0,0.7,8,0.0141155819940957,0.00324171811345386,3,3,0.282608695652174,0.271739130434783,0.266,0.438,-0.175,1.647,5,5,0.16304347826087,0.112092391304348,NaN,NaN,150,10,0.995,0.9625
1,200123,132015,3,1,0,0.7,9,0.0165341654292379,-0.000373059962347488,3,3,0.282608695652174,0.282608695652174,0.332,0.537,-0.193,1.619,5,5,0.152853260869565,0.112092391304348,NaN,NaN,150,10,1,0.8
1,200123,132124,3,1,0,0.7,10,0.00406611817064584,-0.00528098544351119,3,3,0.282608695652174,0.282608695652174,0.337,0.507,-0.148,1.503,5,5,0.16304347826087,0.122282608695652,NaN,NaN,150,10,0.8925,0.405
1,200123,132545,3,1,0,0.7,11,0.00879856594247119,-0.00232489405407699,3,3,0.282608695652174,0.282608695652174,0.521,0.553,-0.126,1.062,5,5,0.16304347826087,0.132472826086957,NaN,NaN,150,10,0.9575,0.6675
1,200123,132702,3,1,0,0.7,12,0.00664261716700354,0.0014916313364528,3,3,0.315217391304348,0.315217391304348,0.524,0.561,0.049,1.07,5,5,0.183423913043478,0.173233695652174,NaN,NaN,150,10,0.9275,0.9
1,200123,132815,3,1,0,0.7,13,0.00537973123958224,-0.00732215190140995,3,3,0.304347826086957,0.315217391304348,0.379,0.45,0.047,1.188,5,5,0.183423913043478,0.16304347826087,NaN,NaN,150,10,0.9125,0.235
1,200123,132929,3,1,0,0.7,14,0.00824581686439863,-0.00166537642314379,3,3,0.293478260869565,0.293478260869565,0.464,0.555,-0.064,1.195,5,5,0.173233695652174,0.142663043478261,NaN,NaN,150,10,0.95,0.7275
