"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","te12rescaled_PreTest","te12rescaled_PostTest","te12rescaled_Retention","te21rescaled_PreTest","te21rescaled_PostTest","te21rescaled_Retention"
"5","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3818,0.301,0.5468,0.858,0.898333333333333,0.9252,2.2688,2.988,1.7028,-0.289201574561195,0.354023870459718,0.324845722274156,0.853315983408129,0.0606656799581467,-0.023264950128602
"5","Periodic Fixed","Chaotic Non-interactive",0.372,0.517666666666667,0.429,0.7986,0.864333333333333,0.7364,2.1488,1.739,1.7344,-0.24297249177761,1.50028831464441,-0.694188563458576,0.0772854781300776,1.88519478380413,0.354865183632524
"6","Chaotic","Chaotic Interactive",0.2224,0.369333333333333,0.3416,0.4598,0.482,0.4896,2.0966,1.30533333333333,1.461,2.17722549460234,0.44969791056168,1.52449465479402,0.208854041623518,-0.489552234462222,0.283346058076466
"6","Chaotic Visual","Chaotic Interactive",1.3314,1.22033333333333,1.6682,0.5842,0.536333333333333,0.668,0.4418,0.440666666666667,0.4002,1.23455344927999,3.39927292993394,4.18819465210772,-0.559405445154711,0.148944252593119,0.153464374608572
"6","Periodic Fadeout (SCT)","Chaotic Interactive",0.3016,0.275333333333333,0.3978,0.7466,0.764666666666667,0.8712,2.6772,2.788,2.2214,-0.966214023947277,-1.01655961599927,-0.379776875952794,-0.804141007583962,-0.049723835619595,-0.124289005520535
"6","Periodic Fixed","Chaotic Interactive",0.4058,0.611333333333333,0.351,0.8674,0.793,0.813,2.19,1.45733333333333,2.3432,-0.00472957445117072,-0.635264724656371,-0.373550832460142,0.207648816565385,0.772092332243605,0.0528231503879022
"7","Chaotic","Chaotic Non-interactive",0.2652,0.257,0.2428,0.4824,0.523,0.5096,1.8252,2.03666666666667,2.1204,1.51349815274356,1.7170340481198,2.23269670288112,0.936693018924959,1.59029369797023,1.24731981244018
"7","Chaotic Visual","Chaotic Non-interactive",1.4642,1.68433333333333,1.7068,0.5796,0.659666666666667,0.674,0.396,0.391666666666667,0.395,2.02908110726613,4.27851182739328,3.90536936716674,0.0333157294438059,0.465211746828219,0.838050426947623
"7","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3028,0.400666666666667,0.3996,0.8942,0.927666666666667,0.9292,3.0258,2.42333333333333,2.341,0.271753443184036,-0.0723314079957981,-0.770590940224505,0.1959486949096,1.29071006866841,-0.218229470246286
"7","Periodic Fixed","Chaotic Non-interactive",0.326,0.257666666666667,0.2096,0.854,0.773333333333333,0.7234,2.6574,3.00966666666667,3.4972,0.425666034115548,-1.12311762277317,-0.448941421891626,0.642054472306432,0.128003809276359,-0.0202665270942511
"8","Chaotic","Chaotic Non-interactive",0.4138,0.413333333333333,0.3638,0.592,0.558666666666667,0.5522,1.4398,1.415,1.5272,3.44489401232891,3.95264521936667,4.3740819379517,1.25958052166796,1.19306293794451,1.26769305304842
"8","Chaotic Visual","Chaotic Non-interactive",1.7446,1.81266666666667,1.7414,0.6624,0.696666666666667,0.643,0.3792,0.385,0.37,4.39557437455971,5.45575483583663,6.85364116015932,1.07088740535072,0.726965752995815,1.43566847783229
"8","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3832,0.381,0.594,0.8922,0.909333333333333,0.9468,2.3914,2.39066666666667,1.6484,0.862992328109798,0.69380355845641,0.392929550933567,0.114803791680469,0.600395166547419,0.932684050623883
"8","Periodic Fixed","Chaotic Non-interactive",0.4124,0.467666666666667,0.3372,0.8832,0.875333333333333,0.8914,2.221,1.93766666666667,2.6846,0.245495181028764,-0.446016006305731,0.326138145135997,-0.112748231254377,0.0459875484516213,-0.465381116475627
"9","Chaotic","Chaotic Non-interactive",0.3752,0.509,0.571,0.4682,0.572,0.6964,1.2644,1.12833333333333,1.2228,2.31336874182207,4.88379741259948,5.48928361109621,0.409728543184248,0.180922868257456,0.787418569797273
"9","Chaotic Visual","Chaotic Non-interactive",1.879,1.951,1.8606,0.7392,0.763666666666667,0.7874,0.3944,0.391333333333333,0.4236,4.7822191447259,4.1230957472998,5.30573667995497,0.906747150557419,1.16051592264976,1.23969197005245
"9","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3544,0.411666666666667,0.3644,0.9034,0.903666666666667,0.8962,2.554,2.19666666666667,2.4796,-0.361726321658272,-0.0385534263677473,0.762781179352167,-1.04901855087173,1.73029724528132,-0.241293025260598
"9","Periodic Fixed","Chaotic Non-interactive",0.3522,0.307666666666667,0.4098,0.7552,0.702666666666667,0.8936,2.3358,2.35133333333333,2.4626,-0.200398807878383,-0.244657965004682,1.30160466441291,-0.441312819271155,-0.549954627116048,-0.75981254130783
"10","Chaotic","Chaotic Interactive",0.4038,0.519333333333333,0.4254,0.5066,0.569,0.5404,1.2598,1.126,1.2814,5.82213306799708,4.01061703675878,4.63210944817027,1.03719764551451,1.29177179895173,1.2847396279192
"10","Chaotic Visual","Chaotic Interactive",1.6238,1.912,1.8846,0.5666,0.609666666666667,0.6098,0.352,0.320666666666667,0.3242,4.58443358666939,4.68864355328214,5.40654048219947,1.93681861587328,1.1231230544224,1.76488634278311
"10","Periodic Fadeout (SCT)","Chaotic Interactive",0.5274,0.835666666666667,0.8275,0.9486,0.968333333333333,0.965,1.9218,1.16066666666667,1.1775,0.581827047348609,-0.0814797455777707,0.103972442179054,-0.0318526558315118,0.276041919386416,-0.604186455018888
"10","Periodic Fixed","Chaotic Interactive",0.6492,0.508666666666667,0.7776,0.9518,0.875,0.9634,1.5158,1.74,1.5364,0.817514888943123,0.793930415162772,0.596443998789192,-0.0843680725145926,0.54950564625706,0.317045278828103
"11","Chaotic","Periodic Fixed",0.1676,0.120666666666667,0.177,0.2926,0.247,0.2594,1.7952,2.07033333333333,1.4648,2.18320833730594,4.0315758286511,2.86659727691492,-0.0166140962157708,0.191206806249502,0.125505431696164
"11","Chaotic Visual","Periodic Fixed",1.0432,1.24566666666667,1.3334,0.4626,0.592333333333333,0.6328,0.444,0.475,0.4774,2.12468894125722,1.89430836916488,2.62112770263262,-0.610049412038208,-0.300439895287972,1.34099795513219
"11","Periodic Fadeout (SCT)","Periodic Fixed",0.2072,0.336666666666667,0.4708,0.6302,0.815666666666667,0.8876,3.225,2.44533333333333,1.8928,0.205117338518893,0.846088508182642,0.123826342590283,0.151983342657318,0.244655646319787,-0.211144171779373
"11","Periodic Fixed","Periodic Fixed",0.2426,0.43,0.4518,0.5598,0.791333333333333,0.8428,2.3552,1.89366666666667,1.8846,-0.953646824370096,0.516959137878313,0.253442516731393,1.52047123728596,0.426546774751562,0.0810905140926374
"12","Chaotic","Chaotic Non-interactive",0.3586,0.393,0.4284,0.5344,0.508,0.5128,1.534,1.31466666666667,1.199,2.62295653709386,5.63341378754006,4.90354129128177,1.0377978460396,2.61449607207425,1.05139239003625
"12","Chaotic Visual","Chaotic Non-interactive",1.57,1.433,1.3556,0.6464,0.604,0.5342,0.4122,0.423,0.3946,3.0807732768543,4.2712990147133,5.68705949554356,1.59334938698404,1.35817368597704,1.49729370213989
"12","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3372,0.450666666666667,0.3344,0.8524,0.912333333333333,0.8396,2.5426,2.062,2.526,0.100409396810755,0.256266478001869,0.11310556279914,-0.0979787163883945,0.568084743809857,-0.196319387189184
"12","Periodic Fixed","Chaotic Non-interactive",0.1214,0.262666666666667,0.3712,0.3596,0.862666666666667,0.787,3.0412,3.32066666666667,2.1292,-0.918286338084137,0.905916976722189,-0.403806245804406,0.0713580607531586,0.459399271394319,0.914094426416093
"13","Chaotic","Periodic Fixed",0.1954,0.171,0.229,0.4012,0.360666666666667,0.3448,2.115,2.09433333333333,1.5306,0.988942002203929,2.30775044778514,2.65438940314105,-0.170797550898875,0.992340300539275,-0.404614282265934
"13","Chaotic Visual","Periodic Fixed",1.3186,1.40433333333333,1.4768,0.5052,0.490333333333333,0.5454,0.3832,0.349,0.371,3.60205007668034,2.67717861778322,4.31343000524885,1.06003094014498,0.756581080891418,1.85235729889519
"13","Periodic Fadeout (SCT)","Periodic Fixed",0.2808,0.446333333333333,0.4486,0.9016,0.927,0.9068,3.2616,2.08033333333333,2.0882,-0.0112087545707902,-0.631470920851126,-0.669521012874384,-0.0147061001671126,0.272129477910165,-0.573423346298393
"13","Periodic Fixed","Periodic Fixed",0.25,0.438666666666667,0.4252,0.7212,0.879666666666667,0.8856,2.9144,2.048,2.0898,-0.131068459287202,0.244426205511526,-0.18241785746269,-0.534681947454358,-1.01511304871282,0.0948251272476286
"14","Chaotic","Chaotic Interactive",0.311,0.436666666666667,0.3426,0.4986,0.566333333333333,0.5018,1.616,1.316,1.482,2.0319416836265,2.87604103651821,5.00327626786912,0.790469696968899,0.586810423661231,1.09318621535863
"14","Chaotic Visual","Chaotic Interactive",1.352,1.62833333333333,1.4702,0.5438,0.608,0.5782,0.4018,0.373333333333333,0.3936,2.95275016992546,2.46093450036501,3.56710884543939,-0.110650507391666,2.38051253239467,1.12934959235495
"14","Periodic Fadeout (SCT)","Chaotic Interactive",0.1012,0.270333333333333,0.3922,0.6092,0.846,0.8636,5.9408,3.195,2.2224,-0.551789540384056,2.04363122190619,0.0451353567937344,-0.499780499420746,0.073273300940165,0.254957576183943
"14","Periodic Fixed","Chaotic Interactive",0.2716,0.452666666666667,0.2442,0.6084,0.741,0.5988,2.323,1.65766666666667,2.4572,-0.308014075645356,-0.268780955376316,-0.204169846320488,-0.0202842665592096,0.13898319275547,0.369959237162055
"15","Chaotic","Periodic Fixed",0.3226,0.354666666666667,0.3668,0.4086,0.411333333333333,0.4438,1.2726,1.16033333333333,1.2162,3.42283687663165,4.38669376988582,3.093225582326,0.32015504751489,0.33693960188683,-0.140446420538107
"15","Chaotic Visual","Periodic Fixed",1.4464,1.53366666666667,1.5958,0.5604,0.589333333333333,0.6044,0.3894,0.384,0.3796,2.69455485670864,4.04840896124494,3.73337664897241,1.17209457352851,1.38331231384848,1.55111269033314
"15","Periodic Fadeout (SCT)","Periodic Fixed",0.226,0.428333333333333,0.4674,0.6846,0.883,0.9226,3.2056,2.08,1.977,-0.322950507463047,0.793686489039014,0.108360226971619,-0.032114400177891,-0.177769303196487,0.28718962306201
"15","Periodic Fixed","Periodic Fixed",0.3828,0.464666666666667,0.5132,0.6558,0.657666666666667,0.7236,1.7636,1.582,1.449,-0.4084893305101,-0.674120104499512,-0.285053909821892,-0.383669151545558,0.20456768171392,-0.875177642710216
"17","Chaotic","Chaotic Interactive",0.2892,0.412666666666667,0.3412,0.4368,0.479666666666667,0.408,1.538,1.16466666666667,1.197,0.611413147149778,2.02419016560724,1.44579436147461,-0.146972601958961,0.721303506276607,0.546592884437425
"17","Chaotic Visual","Chaotic Interactive",1.543,1.32933333333333,1.4548,0.604,0.478333333333333,0.517,0.3898,0.369333333333333,0.3574,3.68238141596627,4.06113637370669,2.6122693734745,0.26847783706725,1.25261226455504,0.470587634816294
"17","Periodic Fadeout (SCT)","Chaotic Interactive",0.1706,0.207666666666667,0.1656,0.6038,0.609,0.5198,3.5866,2.98366666666667,3.155,-1.60896125216777,0.787484081824857,-1.23973097167727,-0.40969489361856,0.154460404421296,-0.362977202620827
"17","Periodic Fixed","Chaotic Interactive",0.3876,0.379666666666667,0.5048,0.7264,0.680666666666667,0.722,1.8884,1.90966666666667,1.4332,0.299614736688108,-0.35006193612306,0.0979946504108116,-0.00529077286947718,0.0700876119710521,0.253688264683195
"18","Chaotic","Periodic Fixed",0.2788,0.333666666666667,0.1992,0.4444,0.414,0.348,1.6442,1.239,1.7518,4.9273989293793,4.91085228087355,3.13086386942595,0.87617273565557,0.421646975700061,0.465279964110935
"18","Chaotic Visual","Periodic Fixed",1.3606,1.316,1.608,0.5488,0.501666666666667,0.6182,0.4046,0.381333333333333,0.3848,4.17980386965698,5.01867286687726,3.4719419411813,0.387786597352607,0.126090661116302,-0.108299994734287
"18","Periodic Fadeout (SCT)","Periodic Fixed",0.2516,0.429,0.4286,0.7908,0.887333333333333,0.8796,3.1938,2.06866666666667,2.058,-0.313031103798426,-0.268193477535049,0.134842799062678,0.398915595669575,0.351531507458762,0.0527721209621148
"18","Periodic Fixed","Periodic Fixed",0.4066,0.358,0.2638,0.8176,0.838,0.5662,2.0126,2.369,2.1554,0.79929627580042,0.186679193997123,-0.0789078887583404,0.290197173913299,0.702978265320835,0.848052972547787
"19","Chaotic","Chaotic Non-interactive",0.1616,0.195,0.2296,0.4032,0.415666666666667,0.405,2.5256,2.20433333333333,1.8198,3.68194595125939,5.95633578971965,5.86696598502177,1.27707187458496,0.330225402470044,1.06720417418121
"19","Chaotic Visual","Chaotic Non-interactive",1.6726,1.90866666666667,1.7752,0.6164,0.669666666666667,0.6258,0.3704,0.351,0.353,4.87460192841424,4.61131284465013,5.21884470839743,1.24954157359658,2.14991347806368,0.673142309768544
