"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","TE S-U Delta% PostTest","TE S-U Delta% Retention","TE U-S Delta% PostTest","TE U-S Delta% Retention"
"7","Chaotic Visual","Chaotic Non-interactive",13.8141246836899,16.2870945479641,-1.0942760942761,-0.252525252525253,15.0343759959933,16.5687747575468,110.859576390118,92.4698501790602,1296.37268820092,2415.47974767047
"7","Periodic Fadeout (SCT)","Chaotic Non-interactive",3.74263773950645,3.91411317378663,-19.9109877277635,-22.6320311983608,32.3205636283575,31.9682959048877,-126.616556224023,-383.562530504038,558.69796645692,-211.370718925668
"7","Periodic Fixed","Chaotic Non-interactive",-9.44574551131928,-15.2927400468384,13.2560648252678,31.602318055242,-20.961145194274,-35.7055214723926,-363.849481226942,-205.467992724493,-80.0634035276579,-103.156512098023
"8","Chaotic","Chaotic Non-interactive",-5.63063063063063,-6.72297297297296,-1.72246145297958,6.07028753993611,-0.112775898179476,-12.0831319478009,14.7392403139421,26.9729031516595,-5.28093143544016,0.644066118910489
"8","Chaotic Visual","Chaotic Non-interactive",5.1731078904992,-2.92874396135265,1.52953586497891,-2.42616033755274,3.90156291795636,-0.183423134242799,24.1192702235441,55.9214013036878,-32.1155754224475,34.063438477186
"8","Periodic Fadeout (SCT)","Chaotic Non-interactive",1.9203467085108,6.11970410221923,-0.0306654400490613,-31.0696663042569,-0.574112734864295,55.0104384133612,-19.6048984611439,-54.4689404372579,422.975032234552,712.415719874311
"8","Periodic Fixed","Chaotic Non-interactive",-0.89070048309179,0.928442028985506,-12.7570163589975,20.8734804142278,13.401228580666,-18.2347235693501,-281.680147217827,32.8491026867789,-140.787822513922,312.761345608745
"9","Chaotic","Chaotic Non-interactive",22.1700128150363,48.7398547629218,-10.761362438047,-3.29009807023093,35.6609808102345,52.1855010660981,111.11193059317,137.285284955165,-55.8432354135264,92.1805504878344
"9","Chaotic Visual","Chaotic Non-interactive",3.30988455988456,6.52056277056276,-0.777552400270452,7.40365111561865,3.83182543906332,-0.979244278871739,-13.7827936670996,10.9471674004407,27.9867184513717,36.718595618454
"9","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.0295181167441608,-0.796989152092095,-13.9911250326285,-2.91307752545027,16.1587659894658,2.82167042889391,-89.3418244514234,-310.872456241318,-264.944389576662,-76.9982117990112
"9","Periodic Fixed","Chaotic Non-interactive",-6.95621468926554,18.3262711864407,0.665011273796275,5.42854696463739,-12.6443308726103,16.3543441226576,22.0855391281363,-749.507189285689,24.617868120015,72.1709653852092
"10","Chaotic","Chaotic Interactive",12.3174101855507,6.6719305171733,-10.6207334497539,1.71455786632799,28.6115238566947,5.34918276374443,-31.1143014094916,-20.4396499689795,24.5444206837685,23.8664234801556
"10","Chaotic Visual","Chaotic Interactive",7.60089422284975,7.62442640310625,-8.90151515151515,-7.89772727272727,17.7484911934967,16.0610912673975,2.273126322863,17.9325729119647,-42.01196512581,-8.8770456707247
"10","Periodic Fadeout (SCT)","Chaotic Interactive",2.08025862674818,1.72886358844613,-39.6052312068547,-38.7293162660006,58.450259132853,56.9017823284035,-114.004117881607,-82.1300087967966,-966.621360700881,1796.81657383547
"10","Periodic Fixed","Chaotic Interactive",-8.06892204244589,1.21874343349443,14.7908695078506,1.35901834015041,-21.6471554734032,19.7781885397412,-2.88489837914025,-27.0418182156571,-751.319426744063,-475.788221039737
"11","Chaotic","Periodic Fixed",-15.5844155844156,-11.3465481886534,15.32605466429,-18.4046345811052,-28.0031821797932,5.60859188544152,84.6628999972591,31.3020488210605,-1250.87094576954,-855.415341684548
"11","Chaotic Visual","Periodic Fixed",28.0443867992506,36.7920449632512,6.98198198198198,7.52252252252252,19.4082310838446,27.8182515337424,-10.8430258951705,23.3652442828472,-50.7515474387253,-319.817924363183
"11","Periodic Fadeout (SCT)","Periodic Fixed",29.4298106421242,40.84417645192,-24.1757105943153,-41.3085271317829,62.4839124839125,127.220077220077,312.489999281417,-39.6314599807086,60.9753029787087,-238.925863905656
"11","Periodic Fixed","Periodic Fixed",41.3600095272121,50.5537692032869,-19.5963541666667,-19.9813179347826,77.2464962901896,86.2324814509481,-154.208657195474,-126.57614016581,-71.9464094886169,-94.6667511950187
"12","Chaotic","Chaotic Non-interactive",-4.94011976047904,-4.04191616766466,-14.2981312472838,-21.8383311603651,9.59286112660345,19.4645844952593,114.773432493917,86.9471042289821,151.927297985013,1.30994143498426
"12","Chaotic Visual","Chaotic Non-interactive",-6.55940594059406,-17.3576732673267,2.62008733624454,-4.26977195536148,-8.72611464968153,-13.656050955414,38.6437310010235,84.5984428088285,-14.7598325218646,-6.02853872658604
"12","Periodic Fadeout (SCT)","Chaotic Non-interactive",7.0311277960269,-1.50164242139841,-18.9019114292457,-0.652875009832453,33.6496638987742,-0.830367734282332,155.221608874779,12.6444002171574,-679.804231725112,100.369421467985
"12","Periodic Fixed","Chaotic Non-interactive",139.896180941787,118.854282536151,9.18935507913544,-29.9881625674076,116.364634816035,205.766062602965,-198.652995166218,-56.0261076466752,543.794501343681,1180.99673220959
"13","Chaotic","Periodic Fixed",-10.1030242605517,-14.0578265204387,-0.977147360126102,-27.6312056737589,-12.4872057318321,17.1954964176049,133.355489264502,168.406984153322,-681.003823132577,136.897004750083
"13","Chaotic Visual","Periodic Fixed",-2.94272895223013,7.95724465558195,-8.92484342379958,-3.18371607515657,6.50184539157693,11.9975731836797,-25.6762521122273,19.7493070175224,-28.6265096386768,74.7455879582016
"13","Periodic Fadeout (SCT)","Periodic Fixed",2.81721384205857,0.576752440106488,-36.2173984138664,-35.9762079960755,58.9506172839506,59.7578347578348,5533.72957149697,5873.19718837579,-1950.45304205618,3799.22100204884
"13","Periodic Fixed","Periodic Fixed",21.9726381955999,22.7953410981697,-29.7282459511392,-28.2939884710404,75.4666666666667,70.08,-286.487433239701,39.1775400845821,89.8536229894826,-117.734866063665
