"pp","task_label","training_phase_label","score","c","pitch_error","te12rescaled","te21rescaled","Training"
"7","Chaotic","Retention",0.2428,0.5096,2.1204,2.23269670288112,1.24731981244018,"Chaotic Non-interactive"
"7","Chaotic Visual","PreTest",1.4642,0.5796,0.396,2.02908110726613,0.0333157294438059,"Chaotic Non-interactive"
"7","Chaotic Visual","PostTest",1.68433333333333,0.659666666666667,0.391666666666667,4.27851182739328,0.465211746828219,"Chaotic Non-interactive"
"7","Chaotic Visual","Retention",1.7068,0.674,0.395,3.90536936716674,0.838050426947623,"Chaotic Non-interactive"
"7","Periodic Fadeout (SCT)","PreTest",0.3028,0.8942,3.0258,0.271753443184036,0.1959486949096,"Chaotic Non-interactive"
"7","Periodic Fadeout (SCT)","PostTest",0.400666666666667,0.927666666666667,2.42333333333333,-0.0723314079957981,1.29071006866841,"Chaotic Non-interactive"
"7","Periodic Fadeout (SCT)","Retention",0.3996,0.9292,2.341,-0.770590940224505,-0.218229470246286,"Chaotic Non-interactive"
"7","Periodic Fixed","PreTest",0.326,0.854,2.6574,0.425666034115548,0.642054472306432,"Chaotic Non-interactive"
"7","Periodic Fixed","PostTest",0.257666666666667,0.773333333333333,3.00966666666667,-1.12311762277317,0.128003809276359,"Chaotic Non-interactive"
"7","Periodic Fixed","Retention",0.2096,0.7234,3.4972,-0.448941421891626,-0.0202665270942511,"Chaotic Non-interactive"
"8","Chaotic","PreTest",0.4138,0.592,1.4398,3.44489401232891,1.25958052166796,"Chaotic Non-interactive"
"8","Chaotic","PostTest",0.413333333333333,0.558666666666667,1.415,3.95264521936667,1.19306293794451,"Chaotic Non-interactive"
"8","Chaotic","Retention",0.3638,0.5522,1.5272,4.3740819379517,1.26769305304842,"Chaotic Non-interactive"
"8","Chaotic Visual","PreTest",1.7446,0.6624,0.3792,4.39557437455971,1.07088740535072,"Chaotic Non-interactive"
"8","Chaotic Visual","PostTest",1.81266666666667,0.696666666666667,0.385,5.45575483583663,0.726965752995815,"Chaotic Non-interactive"
"8","Chaotic Visual","Retention",1.7414,0.643,0.37,6.85364116015932,1.43566847783229,"Chaotic Non-interactive"
"8","Periodic Fadeout (SCT)","PreTest",0.3832,0.8922,2.3914,0.862992328109798,0.114803791680469,"Chaotic Non-interactive"
"8","Periodic Fadeout (SCT)","PostTest",0.381,0.909333333333333,2.39066666666667,0.69380355845641,0.600395166547419,"Chaotic Non-interactive"
"8","Periodic Fadeout (SCT)","Retention",0.594,0.9468,1.6484,0.392929550933567,0.932684050623883,"Chaotic Non-interactive"
"8","Periodic Fixed","PreTest",0.4124,0.8832,2.221,0.245495181028764,-0.112748231254377,"Chaotic Non-interactive"
"8","Periodic Fixed","PostTest",0.467666666666667,0.875333333333333,1.93766666666667,-0.446016006305731,0.0459875484516213,"Chaotic Non-interactive"
"8","Periodic Fixed","Retention",0.3372,0.8914,2.6846,0.326138145135997,-0.465381116475627,"Chaotic Non-interactive"
"9","Chaotic","PreTest",0.3752,0.4682,1.2644,2.31336874182207,0.409728543184248,"Chaotic Non-interactive"
"9","Chaotic","PostTest",0.509,0.572,1.12833333333333,4.88379741259948,0.180922868257456,"Chaotic Non-interactive"
"9","Chaotic","Retention",0.571,0.6964,1.2228,5.48928361109621,0.787418569797273,"Chaotic Non-interactive"
"9","Chaotic Visual","PreTest",1.879,0.7392,0.3944,4.7822191447259,0.906747150557419,"Chaotic Non-interactive"
