"file_name","pp","day","date","task_code","training_phase","training_phase_label","visual","score","c","tau","pitch_error","te12rescaled","te21rescaled","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","pre_testimtouser","pre_teusertostim","score_delta","c_delta","tau_delta","pitch_error_delta","testimtouser_delta","teusertostim_delta"
"trial_log-200124-113848_task011_aud1_vis0_eps000_pp1_d2_test_SCT","1",2,"200124-113848","11",2,"Retention",0,0.528,0.947,0.195,1.792,1.2450054469872,2.07173995692338,"25","Chaotic Interactive","Periodic Fixed",5,0.5436,0.852,-0.0666,1.7218,0.189553614107261,-0.274812888094589,-0.0286975717439293,11.150234741784,-392.792792792793,4.07712858636311,556.80913173341,-853.872924697148
"trial_log-200203-151332_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151332","11",-1,"PreTest",0,0.521,0.911,0.085,1.747,1.6962956081415,2.07587494573024,"25","Chaotic Interactive","Periodic Fixed",1,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.0659734671925422,-3.04384844614729,-268.650793650794,0.436932275497301,39.8870950196407,72.4825302578993
"trial_log-200203-151437_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151437","11",-1,"PreTest",0,0.519,0.934,-0.102,1.801,0.638366711002165,-0.0493722316748706,"25","Chaotic Interactive","Periodic Fixed",2,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.069558981713876,-0.595998297147716,102.380952380952,3.54145107508335,-47.3563072787923,-104.102293089127
"trial_log-200203-151554_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151554","11",-1,"PreTest",0,0.526,0.954,-0.274,1.814,1.88587120560824,0.672548814029394,"25","Chaotic Interactive","Periodic Fixed",3,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.0570096808892077,1.53256704980843,443.650793650794,4.28883523053927,55.5206788649057,-44.1185407606852
"trial_log-200203-151700_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151700","11",-1,"PreTest",0,0.771,0.945,-0.013,1.225,0.924334378154113,2.73419014194042,"25","Chaotic Interactive","Periodic Fixed",4,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,0.382215847974184,0.574712643678157,-74.2063492063492,-29.5734161205013,-23.7736333418728,127.181331350474
"trial_log-200203-151805_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151805","11",-1,"PreTest",0,0.452,0.954,0.052,2.11,0.918220360894634,0.584396587676481,"25","Chaotic Interactive","Periodic Fixed",5,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.189673718178559,1.53256704980843,-203.174603174603,21.3061975393814,-24.2778332638814,-51.4430277585611
"trial_log-200203-163310_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-163310","11",1,"PostTest",0,0.462,0.916,-0.068,1.982,1.29767064716594,-0.908442292009843,"25","Chaotic Interactive","Periodic Fixed",1,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.17174614557189,-2.51170710940825,34.9206349206349,13.9473381625848,7.01399936016221,-175.481630259776
"trial_log-200203-163415_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-163415","11",1,"PostTest",0,0.504,0.927,0.222,1.839,0.672806047039548,-1.2187536260068,"25","Chaotic Interactive","Periodic Fixed",2,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.0964503406238796,-1.34099616858237,-540.47619047619,5.72611245256985,-44.5162252497213,-201.265112143205
"trial_log-200203-163520_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-163520","11",1,"PostTest",0,0.506,0.93,0.122,1.838,0.475322634198385,-1.96023406973287,"25","Chaotic Interactive","Periodic Fixed",3,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.0928648261025458,-1.02171136653895,-342.063492063492,5.66862136368863,-60.8019367756632,-262.874036772156
"trial_log-200205-093157_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093157","11",2,"Retention",0,0.64,0.953,-0.121,1.489,1.91464728741367,-0.463873192521355,"25","Chaotic Interactive","Periodic Fixed",1,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,0.14736464682682,1.42613878246062,140.079365079365,-14.3957686558583,57.8937336971466,-138.542794752382
