FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,TE12rescaled,TE21rescaled
trial_log-200129-145829_task011_aud1_vis0_eps000_pp5_d1_test_SCT,5,1,200129-145829,11,1,PostTest_,0,0.396,0.91,-0.038,2.298,2.108653354005,2.11023154182618
trial_log-200130-132045_task011_aud1_vis0_eps000_pp5_d2_test_SCT,5,2,200130-132045,11,2,Retention,0,0.542,0.778,-0.14,1.434,-0.325256130918796,0.0198810625748444
trial_log-200130-132148_task011_aud1_vis0_eps000_pp5_d2_test_SCT,5,2,200130-132148,11,2,Retention,0,0.355,0.597,0.232,1.681,-1.41820960029295,1.50781029889809
trial_log-200130-132252_task011_aud1_vis0_eps000_pp5_d2_test_SCT,5,2,200130-132252,11,2,Retention,0,0.326,0.619,-0.263,1.899,-0.309261810482126,1.9941473696071
trial_log-200130-132357_task011_aud1_vis0_eps000_pp5_d2_test_SCT,5,2,200130-132357,11,2,Retention,0,0.488,0.904,0.183,1.851,-0.57412148609554,-0.173639122383316
trial_log-200130-132502_task011_aud1_vis0_eps000_pp5_d2_test_SCT,5,2,200130-132502,11,2,Retention,0,0.434,0.784,0.109,1.807,-0.844093789503467,-1.5738736905341
trial_log-200122-095020_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-095020,11,-1,PreTest__,0,0.399,0.87,0.072,2.181,0.232193081213809,0.334151317263159
trial_log-200122-095124_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-095124,11,-1,PreTest__,0,0.446,0.885,0.172,1.984,-0.0447962741875356,-0.00638973812173356
trial_log-200122-095229_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-095229,11,-1,PreTest__,0,0.332,0.774,0.076,2.331,-0.266157403935821,0.705561380303235
trial_log-200122-095333_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-095333,11,-1,PreTest__,0,0.334,0.906,-0.024,2.712,-0.238790836373226,-0.361725607887441
trial_log-200122-095437_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-095437,11,-1,PreTest__,0,0.518,0.902,0.008,1.742,0.29390356102692,0.366646731269706
trial_log-200122-111815_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-111815,11,1,PostTest_,0,0.48,0.814,0.076,1.694,-1.05110576869655,1.54211712853701
trial_log-200122-111921_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-111921,11,1,PostTest_,0,0.949,0.836,0.031,0.881,-0.342918180144689,0.684268794859809
trial_log-200122-112025_task011_aud1_vis0_eps000_pp6_d1_test_SCT,6,1,200122-112025,11,1,PostTest_,0,0.405,0.729,-0.04,1.797,-0.511770225127873,0.0898910733339948
trial_log-200123-115544_task011_aud1_vis0_eps000_pp6_d2_test_SCT,6,2,200123-115544,11,2,Retention,0,0.298,0.884,0.183,2.962,0.843839895347924,0.419063238721316
trial_log-200123-115648_task011_aud1_vis0_eps000_pp6_d2_test_SCT,6,2,200123-115648,11,2,Retention,0,0.326,0.786,0.188,2.411,-1.40009111704064,1.19228552755026
trial_log-200123-115752_task011_aud1_vis0_eps000_pp6_d2_test_SCT,6,2,200123-115752,11,2,Retention,0,0.357,0.736,-0.259,2.061,-0.465155568955894,-0.360984738266162
trial_log-200123-115859_task011_aud1_vis0_eps000_pp6_d2_test_SCT,6,2,200123-115859,11,2,Retention,0,0.383,0.809,-0.125,2.112,-0.477963961380879,-0.193464295858408
trial_log-200123-120004_task011_aud1_vis0_eps000_pp6_d2_test_SCT,6,2,200123-120004,11,2,Retention,0,0.391,0.85,-0.21,2.17,-0.368383410271222,-0.792783980207495
trial_log-200122-120922_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-120922,11,-1,PreTest__,0,0.251,0.646,-0.275,2.577,-0.791764310830259,1.22782830871212
trial_log-200122-121030_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-121030,11,-1,PreTest__,0,0.408,0.903,-0.035,2.217,1.21985346944811,1.56407463526898
trial_log-200122-121138_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-121138,11,-1,PreTest__,0,0.28,0.907,-0.135,3.237,-0.16452042924955,0.151359663151279
trial_log-200122-121245_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-121245,11,-1,PreTest__,0,0.347,0.934,0.111,2.695,1.53849471298886,-0.777928387493967
trial_log-200122-121353_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-121353,11,-1,PreTest__,0,0.344,0.88,0.271,2.561,0.32626672822058,1.04493814189375
trial_log-200122-133942_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-133942,11,1,PostTest_,0,0.248,0.714,0.116,2.874,-1.04042834980361,0.654298609130473
trial_log-200122-134048_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-134048,11,1,PostTest_,0,0.241,0.783,-0.161,3.254,-0.972272349007165,-0.266781879982219
trial_log-200122-134204_task011_aud1_vis0_eps000_pp7_d1_test_SCT,7,1,200122-134204,11,1,PostTest_,0,0.284,0.823,-0.083,2.901,-1.35665216950874,-0.00350530131917733
