FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,TE12rescaled,TE21rescaled
trial_log-200129-103357_task012_aud1_vis0_eps000_pp14_d1_test_periodic,14,1,200129-103357,12,1,PostTest_,0,0.312,0.879,-0.372,2.812,1.2017460582784,0.482649333389694
trial_log-200129-103502_task012_aud1_vis0_eps000_pp14_d1_test_periodic,14,1,200129-103502,12,1,PostTest_,0,0.216,0.827,-0.601,3.837,2.25617578042647,0.176240170200816
trial_log-200129-103608_task012_aud1_vis0_eps000_pp14_d1_test_periodic,14,1,200129-103608,12,1,PostTest_,0,0.283,0.832,0.142,2.936,2.67297182701369,-0.439069600770015
trial_log-200130-140319_task012_aud1_vis0_eps000_pp14_d2_test_periodic,14,2,200130-140319,12,2,Retention,0,0.433,0.869,-0.138,2.009,0.441547913425924,-0.450092639570414
trial_log-200130-140422_task012_aud1_vis0_eps000_pp14_d2_test_periodic,14,2,200130-140422,12,2,Retention,0,0.451,0.89,-0.284,1.972,-0.133008492108663,1.47774401708022
trial_log-200130-140526_task012_aud1_vis0_eps000_pp14_d2_test_periodic,14,2,200130-140526,12,2,Retention,0,0.376,0.854,-0.026,2.268,0.734748628177256,-0.0620667256657463
trial_log-200130-140629_task012_aud1_vis0_eps000_pp14_d2_test_periodic,14,2,200130-140629,12,2,Retention,0,0.353,0.853,0.46,2.413,-0.610453467258283,0.888506849592319
trial_log-200130-140733_task012_aud1_vis0_eps000_pp14_d2_test_periodic,14,2,200130-140733,12,2,Retention,0,0.348,0.852,0.114,2.45,-0.207157798267562,-0.579303620516666
trial_log-200129-111436_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-111436,12,-1,PreTest__,0,0.124,0.536,0.143,4.311,-1.72698192587535,-0.280393220689797
trial_log-200129-111545_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-111545,12,-1,PreTest__,0,0.265,0.808,0.229,3.042,0.158367548874487,-0.590070597577165
trial_log-200129-111650_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-111650,12,-1,PreTest__,0,0.2,0.651,0.173,3.253,1.0834526525416,0.410344470129531
trial_log-200129-111756_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-111756,12,-1,PreTest__,0,0.21,0.64,0.087,3.042,-1.28909768064688,-0.106723347751077
trial_log-200129-111902_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-111902,12,-1,PreTest__,0,0.331,0.788,-0.046,2.38,0.159506867790906,0.406270694999053
trial_log-200129-124757_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-124757,12,1,PostTest_,0,0.404,0.859,-0.112,2.128,2.12979346613486,0.687429152715904
trial_log-200129-124902_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-124902,12,1,PostTest_,0,0.496,0.924,0.167,1.863,-0.184226361298855,-0.188462681837186
trial_log-200129-125008_task012_aud1_vis0_eps000_pp15_d1_test_periodic,15,1,200129-125008,12,1,PostTest_,0,0.385,0.866,0.084,2.249,0.435492362281038,-1.03227438046818
trial_log-200130-150424_task012_aud1_vis0_eps000_pp15_d2_test_periodic,15,2,200130-150424,12,2,Retention,0,0.449,0.91,0.174,2.03,-1.11710531512794,-0.0956933409441411
trial_log-200130-150527_task012_aud1_vis0_eps000_pp15_d2_test_periodic,15,2,200130-150527,12,2,Retention,0,0.495,0.939,-0.061,1.896,0.136432308153569,0.2590585615259
trial_log-200130-150631_task012_aud1_vis0_eps000_pp15_d2_test_periodic,15,2,200130-150631,12,2,Retention,0,0.452,0.927,0.048,2.053,0.360231914045533,0.161247037866323
trial_log-200130-150735_task012_aud1_vis0_eps000_pp15_d2_test_periodic,15,2,200130-150735,12,2,Retention,0,0.46,0.939,0.216,2.039,0.0312859408711315,-0.452754937458994
trial_log-200130-150839_task012_aud1_vis0_eps000_pp15_d2_test_periodic,15,2,200130-150839,12,2,Retention,0,0.481,0.898,0.135,1.867,1.1309562869158,1.56409079432096
trial_log-200220-131947_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-131947,12,-1,PreTest__,0,0.198,0.647,0.288,3.265,-0.75059004216537,-1.27078381708458
trial_log-200220-132052_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-132052,12,-1,PreTest__,0,0.23,0.747,0.005,3.241,-1.52595712426106,1.08817655958578
trial_log-200220-132158_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-132158,12,-1,PreTest__,0,0.136,0.509,0.052,3.746,-2.4648861416433,0.0162179212075292
trial_log-200220-132313_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-132313,12,-1,PreTest__,0,0.169,0.661,-0.185,3.905,-1.34147628016138,-1.43161024436419
trial_log-200220-132419_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-132419,12,-1,PreTest__,0,0.12,0.455,0.006,3.776,-1.96189667260774,-0.450474887437338
trial_log-200220-144654_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-144654,12,1,PostTest_,0,0.169,0.584,-0.389,3.447,0.0833848231172486,-1.05813298700566
trial_log-200220-144801_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-144801,12,1,PostTest_,0,0.212,0.606,0.402,2.866,0.620997064687352,0.436807281630239
trial_log-200220-144908_task012_aud1_vis0_eps000_pp17_d1_test_periodic,17,1,200220-144908,12,1,PostTest_,0,0.242,0.637,-0.136,2.638,1.65807035766997,1.08470691863931
trial_log-200221-141802_task012_aud1_vis0_eps000_pp17_d2_test_periodic,17,2,200221-141802,12,2,Retention,0,0.154,0.498,-0.042,3.237,-1.46637652378807,0.313581689008198
trial_log-200221-141908_task012_aud1_vis0_eps000_pp17_d2_test_periodic,17,2,200221-141908,12,2,Retention,0,0.146,0.473,0.023,3.244,-0.0981385482911595,-1.0716805079018
trial_log-200221-142015_task012_aud1_vis0_eps000_pp17_d2_test_periodic,17,2,200221-142015,12,2,Retention,0,0.177,0.509,0.316,2.868,-1.49476798290542,-1.10899085386705
trial_log-200221-142128_task012_aud1_vis0_eps000_pp17_d2_test_periodic,17,2,200221-142128,12,2,Retention,0,0.193,0.562,0.013,2.907,-1.26798572486755,-0.421563764269857
trial_log-200221-142301_task012_aud1_vis0_eps000_pp17_d2_test_periodic,17,2,200221-142301,12,2,Retention,0,0.158,0.557,0.016,3.519,-1.87138607853417,0.473767423926376
trial_log-200203-091438_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-091438,12,-1,PreTest__,0,0.206,0.842,-0.223,4.09,0.839931842905049,0.521675943176929
trial_log-200203-091602_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-091602,12,-1,PreTest__,0,0.257,0.811,-0.59,3.16,0.221355141565052,0.042472662086098
trial_log-200203-091711_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-091711,12,-1,PreTest__,0,0.251,0.784,0.067,3.128,-1.09503256545852,0.444658732295818
trial_log-200203-091835_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-091835,12,-1,PreTest__,0,0.282,0.726,0.199,2.569,-0.973535675577426,0.698264499741285
trial_log-200203-091941_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-091941,12,-1,PreTest__,0,0.262,0.791,0.281,3.022,-0.557874262426286,0.287506141047743
trial_log-200203-104436_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-104436,12,1,PostTest_,0,0.434,0.906,0.2,2.088,-0.358376541074558,0.666067083115452
trial_log-200203-104540_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-104540,12,1,PostTest_,0,0.418,0.869,-0.147,2.08,0.383886702693127,-0.633069952427096
trial_log-200203-104646_task012_aud1_vis0_eps000_pp18_d1_test_periodic,18,1,200203-104646,12,1,PostTest_,0,0.435,0.887,-0.02,2.038,-0.830090594223717,1.02159739168793
trial_log-200204-091136_task012_aud1_vis0_eps000_pp18_d2_test_periodic,18,2,200204-091136,12,2,Retention,0,0.447,0.903,0.167,2.018,-0.0950566866012301,-0.653792294019196
trial_log-200204-091239_task012_aud1_vis0_eps000_pp18_d2_test_periodic,18,2,200204-091239,12,2,Retention,0,0.426,0.879,-0.056,2.063,-0.679153144695377,0.197552460550349
trial_log-200204-091342_task012_aud1_vis0_eps000_pp18_d2_test_periodic,18,2,200204-091342,12,2,Retention,0,0.444,0.861,-0.225,1.941,-0.324282262228917,-0.520364610838673
trial_log-200204-091445_task012_aud1_vis0_eps000_pp18_d2_test_periodic,18,2,200204-091445,12,2,Retention,0,0.382,0.866,-0.299,2.266,1.24474961047365,0.661415699843286
trial_log-200204-091548_task012_aud1_vis0_eps000_pp18_d2_test_periodic,18,2,200204-091548,12,2,Retention,0,0.444,0.889,0.117,2.002,0.527956478365264,0.579049349274808
trial_log-200203-112149_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-112149,12,-1,PreTest__,0,0.348,0.928,0.074,2.663,1.61390454581647,-0.256817322828215
trial_log-200203-112314_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-112314,12,-1,PreTest__,0,0.253,0.93,0.1,3.683,0.265239908129625,1.06999144082209
trial_log-200203-112419_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-112419,12,-1,PreTest__,0,0.292,0.954,0.182,3.271,0.395223584290429,0.746660146585536
trial_log-200203-112525_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-112525,12,-1,PreTest__,0,0.216,0.925,0.163,4.289,1.15425096251364,-0.845145819231321
trial_log-200203-112631_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-112631,12,-1,PreTest__,0,0.26,0.935,0.698,3.593,0.472912755971755,-1.37048384648593
trial_log-200203-124033_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-124033,12,1,PostTest_,0,0.326,0.834,0.221,2.558,0.304381595542208,-0.381171084599158
trial_log-200203-124139_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-124139,12,1,PostTest_,0,0.352,0.92,0.296,2.616,0.255838130466973,0.188506915259839
trial_log-200203-124244_task012_aud1_vis0_eps000_pp19_d1_test_periodic,19,1,200203-124244,12,1,PostTest_,0,0.468,0.934,0.043,1.998,0.711628464400637,0.744011439949734
trial_log-200205-101434_task012_aud1_vis0_eps000_pp19_d2_test_periodic,19,2,200205-101434,12,2,Retention,0,0.295,0.888,0.27,3.01,0.258111462058325,0.246728755997877
trial_log-200205-101540_task012_aud1_vis0_eps000_pp19_d2_test_periodic,19,2,200205-101540,12,2,Retention,0,0.344,0.903,0.096,2.624,-0.563568160047102,-1.14293770011214
trial_log-200205-101647_task012_aud1_vis0_eps000_pp19_d2_test_periodic,19,2,200205-101647,12,2,Retention,0,0.282,0.915,0.349,3.238,0.0488240781775735,-3.37729337823717
trial_log-200205-101751_task012_aud1_vis0_eps000_pp19_d2_test_periodic,19,2,200205-101751,12,2,Retention,0,0.245,0.914,0.205,3.728,-0.563147469929197,-1.16881979614831
trial_log-200205-101858_task012_aud1_vis0_eps000_pp19_d2_test_periodic,19,2,200205-101858,12,2,Retention,0,0.283,0.913,0.628,3.233,-0.217184428900959,-0.337827184255783
trial_log-200219-134943_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-134943,12,-1,PreTest__,0,0.375,0.872,-0.035,2.325,0.580117115156154,0.592903839884841
trial_log-200219-135056_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-135056,12,-1,PreTest__,0,0.203,0.788,0.143,3.873,0.250247531407691,-1.22874720873505
trial_log-200219-135159_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-135159,12,-1,PreTest__,0,0.508,0.892,0.113,1.757,1.09504479471673,1.54817839522278
trial_log-200219-135302_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-135302,12,-1,PreTest__,0,0.309,0.809,0.311,2.62,0.128784056421414,-1.8112803612985
trial_log-200219-135405_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-135405,12,-1,PreTest__,0,0.395,0.896,0.079,2.269,0.816260247355362,-1.48290346565746
trial_log-200219-152720_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-152720,12,1,PostTest_,0,0.298,0.848,0.017,2.845,1.49328155206345,1.30945441092612
trial_log-200219-152823_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-152823,12,1,PostTest_,0,0.433,0.933,-0.341,2.155,-0.446153360498947,-1.88859645196625
trial_log-200219-152926_task012_aud1_vis0_eps000_pp20_d1_test_periodic,20,1,200219-152926,12,1,PostTest_,0,0.365,0.93,0.144,2.551,0.210065637952568,-2.30465124039541
trial_log-200221-110638_task012_aud1_vis0_eps000_pp20_d2_test_periodic,20,2,200221-110638,12,2,Retention,0,0.347,0.842,0.01,2.423,0.202138091291203,-0.567991224271821
trial_log-200221-110743_task012_aud1_vis0_eps000_pp20_d2_test_periodic,20,2,200221-110743,12,2,Retention,0,0.454,0.918,0.085,2.021,0.832601169581792,-0.627679490248426
trial_log-200221-110848_task012_aud1_vis0_eps000_pp20_d2_test_periodic,20,2,200221-110848,12,2,Retention,0,0.404,0.92,0.426,2.274,0.703404182548161,0.211853632191087
trial_log-200221-110953_task012_aud1_vis0_eps000_pp20_d2_test_periodic,20,2,200221-110953,12,2,Retention,0,0.346,0.923,-0.202,2.663,0.726563240620797,-0.703042890608426
trial_log-200221-111057_task012_aud1_vis0_eps000_pp20_d2_test_periodic,20,2,200221-111057,12,2,Retention,0,0.456,0.936,0.602,2.054,0.414874974335608,1.31097273656384
trial_log-200224-152524_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-152524,12,-1,PreTest__,0,0.251,0.745,-0.385,2.973,1.35377600054969,0.48338439370454
trial_log-200224-152627_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-152627,12,-1,PreTest__,0,0.159,0.695,-0.01,4.365,-1.14301670209564,-0.606757619701944
trial_log-200224-152730_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-152730,12,-1,PreTest__,0,0.213,0.799,-0.06,3.75,0.633253270775573,-0.302285667304183
trial_log-200224-152834_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-152834,12,-1,PreTest__,0,0.139,0.571,0.294,4.107,-0.939530423029547,0.364647543004424
trial_log-200224-152938_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-152938,12,-1,PreTest__,0,0.139,0.564,-0.029,4.063,-2.74337560214121,-0.869644066795845
trial_log-200224-163943_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-163943,12,1,PostTest_,0,0.201,0.718,0.412,3.575,1.73693464082447,0.999054211425185
trial_log-200224-164046_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-164046,12,1,PostTest_,0,0.203,0.645,0.076,3.181,2.30250363758528,-0.719535439480254
trial_log-200224-164150_task012_aud1_vis0_eps000_pp21_d1_test_periodic,21,1,200224-164150,12,1,PostTest_,0,0.168,0.795,0.189,4.718,1.13174032453267,1.5367928792763
trial_log-200226-122001_task012_aud1_vis0_eps000_pp21_d2_test_periodic,21,2,200226-122001,12,2,Retention,0,0.252,0.762,0.316,3.022,1.81322935600387,0.28662742738421
trial_log-200226-122104_task012_aud1_vis0_eps000_pp21_d2_test_periodic,21,2,200226-122104,12,2,Retention,0,0.426,0.874,-0.018,2.049,1.20696412468245,1.17923147302906
trial_log-200226-122208_task012_aud1_vis0_eps000_pp21_d2_test_periodic,21,2,200226-122208,12,2,Retention,0,0.227,0.7,0.042,3.078,-0.0149539147579483,-0.225274778528952
trial_log-200226-122311_task012_aud1_vis0_eps000_pp21_d2_test_periodic,21,2,200226-122311,12,2,Retention,0,0.324,0.828,-0.153,2.556,2.35168064630248,-0.36720476698281
trial_log-200226-122418_task012_aud1_vis0_eps000_pp21_d2_test_periodic,21,2,200226-122418,12,2,Retention,0,0.403,0.85,0.107,2.11,2.00887843111107,0.912281439461586
trial_log-200204-103228_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-103228,12,-1,PreTest__,0,0.162,0.634,0.032,3.912,-1.96909836052417,-0.597345318744877
trial_log-200204-103332_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-103332,12,-1,PreTest__,0,0.237,0.722,-0.422,3.045,-1.42345910477594,0.141797613926227
trial_log-200204-103436_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-103436,12,-1,PreTest__,0,0.171,0.657,0.131,3.841,-2.21119061135185,-0.155793829100625
trial_log-200204-103540_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-103540,12,-1,PreTest__,0,0.266,0.837,0.212,3.147,-0.139844799538273,0.428024909782256
trial_log-200204-103644_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-103644,12,-1,PreTest__,0,0.272,0.793,-0.335,2.92,-0.610149416539943,0.0565434822862791
trial_log-200204-120035_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-120035,12,1,PostTest_,0,0.319,0.859,0.027,2.689,-0.737303715312796,0.399763864776466
trial_log-200204-120139_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-120139,12,1,PostTest_,0,0.333,0.854,0.438,2.568,0.777575510739498,0.520518250188858
trial_log-200204-120244_task012_aud1_vis0_eps000_pp22_d1_test_periodic,22,1,200204-120244,12,1,PostTest_,0,0.327,0.868,-0.086,2.656,-0.530492706548848,-0.213754980305827
trial_log-200205-111959_task012_aud1_vis0_eps000_pp22_d2_test_periodic,22,2,200205-111959,12,2,Retention,0,0.292,0.836,0.097,2.868,0.37633213005033,-0.0759694914343197
trial_log-200205-112102_task012_aud1_vis0_eps000_pp22_d2_test_periodic,22,2,200205-112102,12,2,Retention,0,0.457,0.87,0.294,1.902,-1.09436421762813,0.988297510198048
trial_log-200205-112205_task012_aud1_vis0_eps000_pp22_d2_test_periodic,22,2,200205-112205,12,2,Retention,0,0.51,0.907,-0.072,1.776,0.610922991538128,-0.393440317765961
trial_log-200205-112309_task012_aud1_vis0_eps000_pp22_d2_test_periodic,22,2,200205-112309,12,2,Retention,0,0.476,0.906,-0.021,1.902,0.365967109761493,0.121051423509114
trial_log-200205-112415_task012_aud1_vis0_eps000_pp22_d2_test_periodic,22,2,200205-112415,12,2,Retention,0,0.375,0.882,0.394,2.348,-0.815542003415273,-0.325566466223581
trial_log-200205-141731_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-141731,12,-1,PreTest__,0,0.657,0.942,0.204,1.434,0.369178689577459,-0.0783211174578338
trial_log-200205-141835_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-141835,12,-1,PreTest__,0,0.481,0.927,0.283,1.929,-0.219752374114183,-0.0021486531240311
trial_log-200205-141938_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-141938,12,-1,PreTest__,0,0.574,0.939,0.268,1.637,0.744925685005202,-1.88592570782754
trial_log-200205-142042_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-142042,12,-1,PreTest__,0,0.422,0.933,-0.229,2.213,0.169897533060215,-0.20967228486883
trial_log-200205-142148_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-142148,12,-1,PreTest__,0,0.589,0.94,0.024,1.596,-0.0432128181133633,-0.488674722927214
trial_log-200205-154127_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-154127,12,1,PostTest_,0,0.306,0.904,0.318,2.958,0.730559054581827,-0.236320563434859
trial_log-200205-154234_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-154234,12,1,PostTest_,0,0.559,0.941,-0.456,1.683,-0.263266273535216,-0.0670541817027279
trial_log-200205-154338_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-154338,12,1,PostTest_,0,0.589,0.937,0.33,1.59,1.26309908593146,0.426379235388247
trial_log-200206-150410_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150410,12,2,Retention,0,0.531,0.93,-0.021,1.751,-0.284284765222673,-0.0978111770806704
trial_log-200206-150514_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150514,12,2,Retention,0,0.733,0.955,0.276,1.302,0.026832890841328,-1.47407566923562
trial_log-200206-150625_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150625,12,2,Retention,0,0.615,0.94,-0.104,1.528,-0.47749064923201,-2.3808990066798
trial_log-200206-150730_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150730,12,2,Retention,0,0.759,0.939,-0.16,1.237,0.151782295211413,0.0569443712636505
trial_log-200206-150834_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150834,12,2,Retention,0,0.605,0.925,0.344,1.529,-0.0432627640490478,-0.155329727794564
trial_log-200211-092805_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-092805,12,-1,PreTest__,0,0.466,0.94,-0.283,2.019,0.379265600799623,0.13614755587455
trial_log-200211-092911_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-092911,12,-1,PreTest__,0,0.508,0.942,-0.208,1.852,-0.74198552805854,-0.506917848902454
trial_log-200211-093017_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-093017,12,-1,PreTest__,0,0.69,0.971,-0.44,1.407,0.375449224374514,-0.299081663283094
trial_log-200211-093122_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-093122,12,-1,PreTest__,0,0.735,0.964,0.191,1.311,1.25853095206687,-2.82937395765041
trial_log-200211-093228_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-093228,12,-1,PreTest__,0,0.297,0.826,0.171,2.781,0.946265862687344,-0.0394383884230201
trial_log-200211-104323_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-104323,12,1,PostTest_,0,0.631,0.958,-0.271,1.517,-0.250719961333804,1.07109039966294
trial_log-200211-104429_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-104429,12,1,PostTest_,0,0.664,0.969,-0.422,1.46,-0.30628596826924,0.887050933562799
trial_log-200211-104534_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-104534,12,1,PostTest_,0,0.877,0.964,-0.181,1.099,0.00600116387232984,-0.93449537539079
trial_log-200212-134457_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134457,12,2,Retention,0,0.667,0.955,-0.225,1.432,0.808459723669978,-0.021630498503322
trial_log-200212-134602_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134602,12,2,Retention,0,0.644,0.967,0.095,1.502,1.0496890116466,-1.44516932976069
trial_log-200212-134707_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134707,12,2,Retention,0,0.518,0.947,-0.115,1.828,0.202843067872968,-0.0967890851289128
trial_log-200212-134813_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134813,12,2,Retention,0,0.436,0.946,-0.052,2.169,0.541934651604757,-0.228139668684199
trial_log-200212-134918_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134918,12,2,Retention,0,0.633,0.972,-0.178,1.535,0.533476292796789,-0.174516262554042
trial_log-200225-093256_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093256,12,-1,PreTest__,0,0.15,0.743,0.139,4.946,0.149813294808518,0.156305677143629
trial_log-200225-093401_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093401,12,-1,PreTest__,0,0.271,0.829,0.46,3.058,-0.786430589094797,0.264953329919735
trial_log-200225-093507_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093507,12,-1,PreTest__,0,0.236,0.745,-0.083,3.154,-0.0766222005102324,0.0853323156435573
trial_log-200225-093615_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093615,12,-1,PreTest__,0,0.238,0.765,0.053,3.214,-1.22982375967945,-0.464432260317208
trial_log-200225-093721_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093721,12,-1,PreTest__,0,0.24,0.719,0.102,2.995,-1.95256532457353,0.159632020349385
trial_log-200225-105813_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-105813,12,1,PostTest_,0,0.314,0.856,0.085,2.725,0.7310166241747,0.913602067136416
trial_log-200225-105918_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-105918,12,1,PostTest_,0,0.301,0.859,-0.083,2.851,-0.0805436367256403,1.59832236294028
trial_log-200225-110024_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-110024,12,1,PostTest_,0,0.339,0.841,-0.064,2.484,-0.628267230869703,-0.718330605154813
trial_log-200226-153515_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153515,12,2,Retention,0,0.267,0.862,0.259,3.232,-0.307981774888004,2.16503426979458
trial_log-200226-153621_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153621,12,2,Retention,0,0.334,0.871,0.108,2.608,0.242413565275038,0.0631233904949664
trial_log-200226-153726_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153726,12,2,Retention,0,0.416,0.879,0.47,2.115,-1.13352308813609,-0.503708715196025
trial_log-200226-153834_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153834,12,2,Retention,0,0.39,0.877,-0.249,2.251,-0.791950608091421,-1.49880218550643
trial_log-200226-153940_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153940,12,2,Retention,0,0.372,0.828,-0.313,2.224,-1.52608937002457,0.421502939322577
trial_log-200220-104721_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-104721,12,-1,PreTest__,0,0.266,0.732,-0.252,2.753,2.9468326909109,-0.304141903619221
trial_log-200220-104828_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-104828,12,-1,PreTest__,0,0.337,0.892,-0.131,2.647,-0.264488621303237,0.77984588549559
trial_log-200220-104935_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-104935,12,-1,PreTest__,0,0.18,0.717,-0.333,3.977,-1.04661935256788,0.891457226722022
trial_log-200220-105041_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-105041,12,-1,PreTest__,0,0.199,0.84,0.288,4.221,0.0313273618018801,-0.501754715463401
trial_log-200220-105146_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-105146,12,-1,PreTest__,0,0.213,0.85,-0.06,3.985,-0.0568820261561903,-0.343110356273072
trial_log-200220-121357_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-121357,12,1,PostTest_,0,0.35,0.892,-0,2.547,1.76977884385094,0.892565360612788
trial_log-200220-121503_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-121503,12,1,PostTest_,0,0.416,0.85,0.662,2.041,-0.692693939854281,1.03998705925856
trial_log-200220-121608_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-121608,12,1,PostTest_,0,0.21,0.724,-0.009,3.453,-0.738010961244972,0.998821480215153
trial_log-200221-114129_task012_aud1_vis0_eps000_pp26_d2_test_periodic,26,2,200221-114129,12,2,Retention,0,0.23,0.685,0.419,2.979,0.340660683384994,-2.38320333004091
