"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","MLS Stimulus Delta% PostTest","MLS Stimulus Delta% Retention","MLL Stimulus Delta% PostTest","MLL Stimulus Delta% Retention","MLS User Delta% PostTest","MLS User Delta% Retention","MLL User Delta% PostTest","MLL User Delta% Retention","MLS Stimulus Training","MLL Stimulus Training","MLS User Training","MLL User Training"
"5","Periodic Fadeout (SCT)","Chaotic Non-interactive",4.7008547008547,7.83216783216784,31.6995768688293,-24.9471086036671,-21.1629125196438,43.2163436354112,14.9586439826603,11.095044924548,2.95179698751067,-3.65296422906061,13.4406638042153,-3.68781696868332,58.4546464587162,-19.25321503936,1.50994241370735,0.737066767836839,0.798364549654947,0.152129415123975
"5","Periodic Fixed","Chaotic Non-interactive",8.23107104098841,-7.78863010267968,-19.0711094564408,-19.2851824274013,39.15770609319,15.3225806451613,-5.41637977690044,-2.03400963673322,21.9400281426889,-14.1019592306537,-9.61918583675073,33.2815906799811,-0.00553881382723005,29.1671278803172,1.50994241370735,0.737066767836839,0.798364549654947,0.152129415123975
"6","Chaotic","Chaotic Interactive",4.8281861678991,6.48107872988257,-37.740468695348,-30.3157493084041,66.0671462829736,53.5971223021583,-2.37066627130432,-1.18533313565216,-6.27344197906679,-3.13672098953339,-7.90290259536712,-7.52366019107385,5.69885141576629,-15.0829103219697,1.76853343888048,0.28576647443362,0.604140628786199,0.0772588890066569
"6","Chaotic Visual","Chaotic Interactive",-8.19354102476322,14.3444026018487,-0.256526331673467,-9.41602535083749,-8.34209603925692,25.2966801862701,-1.39571312887767,0.697856564438823,-1.68746905543394,0.843734527716956,22.094316537382,-6.70100946210177,892.706149731126,739.573704429334,1.76853343888048,0.28576647443362,0.604140628786199,0.0772588890066569
"6","Periodic Fadeout (SCT)","Chaotic Interactive",2.41985891597466,16.6889900884008,4.13865232332288,-17.0252502614672,-8.70910698496907,31.8965517241379,10.8068173257556,4.52196109966446,7.30275228227228,-40.3868607926312,3.86251085013605,-14.7546812763601,-24.9113290443554,15.7213482193136,1.76853343888048,0.28576647443362,0.604140628786199,0.0772588890066569
"6","Periodic Fixed","Chaotic Interactive",-8.577357620475,-6.27161632464837,-33.455098934551,6.99543378995434,50.6489239362576,-13.504189255791,-4.16068306802993,0.211639321528904,-25.8537920206226,-31.3571499992246,10.9316763692484,1.6381724514708,-43.4448415313443,-8.78155952285144,1.76853343888048,0.28576647443362,0.604140628786199,0.0772588890066569
"7","Chaotic","Chaotic Non-interactive",8.4162520729685,5.63847429519073,11.5859449192783,16.1735700197239,-3.0920060331825,-8.44645550527904,-0.199925303477366,0,-0.539716223660366,0,30.7468638600068,19.9780483193813,17.4657454540125,58.6341666404902,1.50994241370735,0.737066767836839,0.795432825004402,0.200755750680874
"7","Chaotic Visual","Chaotic Non-interactive",13.8141246836899,16.2870945479641,-1.0942760942761,-0.252525252525253,15.0343759959933,16.5687747575468,2.0935696933165,0,2.5312035831509,0,18.4211180029893,1.84305430367263,16.3749998701868,-64.0737377922538,1.50994241370735,0.737066767836839,0.795432825004402,0.200755750680874
"7","Periodic Fadeout (SCT)","Chaotic Non-interactive",3.74263773950645,3.91411317378663,-19.9109877277635,-22.6320311983608,32.3205636283575,31.9682959048877,-12.1563616348633,-14.5101795681379,-14.4666001753221,-25.0731602031568,3.16988492926267,10.7134307576778,14.4510368090254,23.7545268113913,1.50994241370735,0.737066767836839,0.795432825004402,0.200755750680874
"7","Periodic Fixed","Chaotic Non-interactive",-9.44574551131928,-15.2927400468384,13.2560648252678,31.602318055242,-20.961145194274,-35.7055214723926,-3.69637562830913,1.01056535768399,-32.6368185497535,-3.65534478131295,11.7458786195518,13.7218795042835,9.44384930048188,29.7451170809551,1.50994241370735,0.737066767836839,0.795432825004402,0.200755750680874
