"file_name","pp","day","date","task_code","training_phase","training_phase_label","visual","score","c","tau","pitch_error","max_lyap_stim_short","max_lyap_stim_long","max_lyap_user_short","max_lyap_user_long","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","pre_max_lyap_stim_short","pre_max_lyap_stim_long","pre_max_lyap_user_short","pre_max_lyap_user_long","score_delta","c_delta","tau_delta","pitch_error_delta","max_lyap_stim_short_delta","max_lyap_stim_long_delta","max_lyap_user_short_delta","max_lyap_user_long_delta"
"trial_log-200203-163310_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-163310","11",1,"PostTest",0,0.462,0.916,-0.068,1.982,0.184882821237241,0.0426604480874596,0.215963958117512,0.0891765573924591,"25","Chaotic Interactive","Periodic Fixed",1,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.17174614557189,-2.51170710940825,34.9206349206349,13.9473381625848,-17.0993697047591,1.69673390909257,8.24767817525565,27.1163164263324
"trial_log-200203-163415_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-163415","11",1,"PostTest",0,0.504,0.927,0.222,1.839,0.172322619815975,0.042644838177779,0.264235776760506,0.087581117538618,"25","Chaotic Interactive","Periodic Fixed",2,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.0964503406238796,-1.34099616858237,-540.47619047619,5.72611245256985,-22.7313078561248,1.65952199730302,32.4429760154531,24.8421039737535
"trial_log-200203-163520_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-163520","11",1,"PostTest",0,0.506,0.93,0.122,1.838,0.157253877473496,0.0151552165314881,0.265302393498105,0.0689300719287593,"25","Chaotic Interactive","Periodic Fixed",3,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.0928648261025458,-1.02171136653895,-342.063492063492,5.66862136368863,-29.4880645390246,-63.872015132666,32.977596636201,-1.74394380325162
"trial_log-200205-093157_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093157","11",2,"Retention",0,0.64,0.953,-0.121,1.489,0.208445613200342,0.0300859245954003,0.286930611594567,0.0945357110203229,"25","Chaotic Interactive","Periodic Fixed",1,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,0.14736464682682,1.42613878246062,140.079365079365,-14.3957686558583,-6.53391915513696,-28.2792280635502,43.8183147468412,34.7554974875478
"trial_log-200205-093300_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093300","11",2,"Retention",0,0.877,0.941,-0.143,1.073,0.193725394355045,0.0473458275731606,0.276937643085736,0.0843646689720008,"25","Chaotic Interactive","Periodic Fixed",2,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,0.572248117604876,0.148999574286926,183.730158730159,-38.3120616304473,-13.1343994604061,12.8660444105574,38.8095362053272,20.2572320554111
"trial_log-200205-093406_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093406","11",2,"Retention",0,0.53,0.941,0.087,1.775,0.221725780876511,0.0233842914625293,0.260400806411809,0.061458457102855,"25","Chaotic Interactive","Periodic Fixed",3,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.0498386518465401,0.148999574286926,-272.619047619048,2.04668276417154,-0.579151354573273,-44.2550143486052,30.5207727009004,-12.39432303067
"trial_log-200205-093513_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093513","11",2,"Retention",0,0.553,0.959,0.285,1.735,0.18634875951728,0.031947936156258,0.311567766467124,0.0783466398636067,"25","Chaotic Interactive","Periodic Fixed",4,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.00860523485120119,2.06470838654746,-665.47619047619,-0.252960791077381,-16.4420495352816,-23.8404445361951,56.1672031217585,11.6788599498493
"trial_log-200205-093620_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093620","11",2,"Retention",0,0.57,0.945,-0.132,1.656,0.214752392110492,0.0260036783418693,0.281425075809868,0.0940981032195684,"25","Chaotic Interactive","Periodic Fixed",5,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,0.021871638580136,0.574712643678157,161.904761904762,-4.79475681269404,-3.70598769408864,-38.0107505769944,41.058773428006,34.1317114467105
"trial_log-200129-133108_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133108","11",-1,"PreTest",0,0.383,0.778,0.12,2.032,0.221778020844034,0.0407737342543934,0.456816139251422,0.116184312847037,"30","Chaotic Non-interactive","Periodic Fixed",1,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.0295698924731183,-2.57951414976208,-337.154150197628,-5.43559195830231,16.3786458876139,17.7001117651341,22.2178961245213,-3.85379399117067
"trial_log-200129-133212_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133212","11",-1,"PreTest",0,0.407,0.906,-0.018,2.224,0.162999883581118,0.043598173702626,0.34724836097675,0.106700370805767,"30","Chaotic Non-interactive","Periodic Fixed",2,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.0940860215053763,13.4485349361383,-64.4268774703557,3.49962769918095,-14.4653484650324,25.8533222769971,-7.0961805753788,-11.7020570047518
