FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,MaxLyapStimShort,MaxLyapStimLong,MaxLyapUserShort,MaxLyapUserLong
trial_log-200205-112309_task012_aud1_vis0_eps000_pp22_d2_test_periodic,22,2,200205-112309,12,2,Retention,0,0.476,0.906,-0.021,1.902,0.357073199800517,0.0607214844274251,0.498861090150532,0.168606628811831
trial_log-200205-112415_task012_aud1_vis0_eps000_pp22_d2_test_periodic,22,2,200205-112415,12,2,Retention,0,0.375,0.882,0.394,2.348,0.392779298607552,0.0878925204533836,0.619739912379727,0.0639858144421007
trial_log-200205-141731_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-141731,12,-1,PreTest__,0,0.657,0.942,0.204,1.434,0.348640686923264,0.092144805567988,0.394761464530494,0.0975328419801695
trial_log-200205-141835_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-141835,12,-1,PreTest__,0,0.481,0.927,0.283,1.929,0.390023263757987,0.0751615119268581,0.402248407550807,0.125244613266081
trial_log-200205-141938_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-141938,12,-1,PreTest__,0,0.574,0.939,0.268,1.637,0.406173048411171,0.0737141144313439,0.315985408041114,0.166421908670951
trial_log-200205-142042_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-142042,12,-1,PreTest__,0,0.422,0.933,-0.229,2.213,0.390611013222601,0.0580332798615273,0.45519512719203,0.107485715631307
trial_log-200205-142148_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-142148,12,-1,PreTest__,0,0.589,0.94,0.024,1.596,0.416859454085558,0.0844044349370565,0.491183146799986,0.177715262998051
trial_log-200205-154127_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-154127,12,1,PostTest_,0,0.306,0.904,0.318,2.958,0.343614770458893,0.087201553099994,0.454384990743182,0.130471945199221
trial_log-200205-154234_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-154234,12,1,PostTest_,0,0.559,0.941,-0.456,1.683,0.33942588668081,0.068782715344937,0.552202570872936,0.154997119596515
trial_log-200205-154338_task012_aud1_vis0_eps000_pp23_d1_test_periodic,23,1,200205-154338,12,1,PostTest_,0,0.589,0.937,0.33,1.59,0.388993644145915,0.0760338603754395,0.496223207252722,0.172029926257823
trial_log-200206-150410_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150410,12,2,Retention,0,0.531,0.93,-0.021,1.751,0.425719498411298,0.0505159409601335,0.468552054816232,0.155798349597429
trial_log-200206-150514_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150514,12,2,Retention,0,0.733,0.955,0.276,1.302,0.34541119228609,0.0614660427338992,0.405536606430099,0.123070412774634
trial_log-200206-150625_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150625,12,2,Retention,0,0.615,0.94,-0.104,1.528,0.441127226580623,0.0593570598408919,0.449300989631156,0.15755445165935
trial_log-200206-150730_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150730,12,2,Retention,0,0.759,0.939,-0.16,1.237,0.398821226696772,0.079761109013848,0.521668967495976,0.107321741156261
trial_log-200206-150834_task012_aud1_vis0_eps000_pp23_d2_test_periodic,23,2,200206-150834,12,2,Retention,0,0.605,0.925,0.344,1.529,0.359705147611077,0.0775101408233374,0.552229638249081,0.0762040417217003
trial_log-200211-092805_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-092805,12,-1,PreTest__,0,0.466,0.94,-0.283,2.019,0.313852265440879,0.0598363780750446,0.483375142808481,0.129607383581133
trial_log-200211-092911_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-092911,12,-1,PreTest__,0,0.508,0.942,-0.208,1.852,0.364615114951571,0.0673620928635425,0.509815641721292,0.106328913087467
trial_log-200211-093017_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-093017,12,-1,PreTest__,0,0.69,0.971,-0.44,1.407,0.32976969750228,0.0543822482556118,0.388696771792809,0.135113947677269
trial_log-200211-093122_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-093122,12,-1,PreTest__,0,0.735,0.964,0.191,1.311,0.367505982653657,0.0513410640776078,0.468476102321224,0.106522830963755
trial_log-200211-093228_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-093228,12,-1,PreTest__,0,0.297,0.826,0.171,2.781,0.399856739338095,0.0815792807160225,0.573765748949198,0.201816778684178
trial_log-200211-104323_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-104323,12,1,PostTest_,0,0.631,0.958,-0.271,1.517,0.357737263918447,0.0370520492386541,0.32985085251093,0.108983453841079
trial_log-200211-104429_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-104429,12,1,PostTest_,0,0.664,0.969,-0.422,1.46,0.3880345608138,0.0504131488688284,0.494516098560598,0.218250286878925
trial_log-200211-104534_task012_aud1_vis0_eps000_pp24_d1_test_periodic,24,1,200211-104534,12,1,PostTest_,0,0.877,0.964,-0.181,1.099,0.3661107037078,0.0593888443659181,0.443724855836402,0.16581839261867
trial_log-200212-134457_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134457,12,2,Retention,0,0.667,0.955,-0.225,1.432,0.430807742768123,0.0693869391765319,0.327278661536148,0.0522627281553298
trial_log-200212-134602_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134602,12,2,Retention,0,0.644,0.967,0.095,1.502,0.366020914877112,0.0804970619722284,0.388106212362248,0.128173109453354
trial_log-200212-134707_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134707,12,2,Retention,0,0.518,0.947,-0.115,1.828,0.437951638434599,0.085650826230221,0.477667196252197,0.191333275085548
trial_log-200212-134813_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134813,12,2,Retention,0,0.436,0.946,-0.052,2.169,0.40614488994273,0.0656272611898794,0.462214574206585,0.193061109453476
trial_log-200212-134918_task012_aud1_vis0_eps000_pp24_d2_test_periodic,24,2,200212-134918,12,2,Retention,0,0.633,0.972,-0.178,1.535,0.365058268209978,0.0665064147009928,0.435671273949825,0.10944233511042
trial_log-200225-093256_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093256,12,-1,PreTest__,0,0.15,0.743,0.139,4.946,0.32541266641246,0.0568838776301847,0.720303904245842,0.186958074392129
trial_log-200225-093401_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093401,12,-1,PreTest__,0,0.271,0.829,0.46,3.058,0.298784930654235,0.038111831854181,0.658617935506332,0.185569238087998
trial_log-200225-093507_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093507,12,-1,PreTest__,0,0.236,0.745,-0.083,3.154,0.317687246503092,0.0709588557582972,0.717410223114943,0.14573190104068
trial_log-200225-093615_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093615,12,-1,PreTest__,0,0.238,0.765,0.053,3.214,0.249274408438787,0.0596112635256351,0.830196683741764,0.262290527289476
trial_log-200225-093721_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-093721,12,-1,PreTest__,0,0.24,0.719,0.102,2.995,0.289531001652459,0.0279074541583177,0.766109771393957,0.1396771249149
trial_log-200225-105813_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-105813,12,1,PostTest_,0,0.314,0.856,0.085,2.725,0.297380245027868,0.0852925999434323,0.606237827464887,0.0663297314483695
trial_log-200225-105918_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-105918,12,1,PostTest_,0,0.301,0.859,-0.083,2.851,0.293112605353116,0.0644538608919768,0.628110638700669,0.0808343365386291
trial_log-200225-110024_task012_aud1_vis0_eps000_pp25_d1_test_periodic,25,1,200225-110024,12,1,PostTest_,0,0.339,0.841,-0.064,2.484,0.307309577896159,0.0451829910433717,0.699093152079354,0.121075790435931
trial_log-200226-153515_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153515,12,2,Retention,0,0.267,0.862,0.259,3.232,0.35873314288738,0.0543832372009038,0.565127439991383,0.0948844288789227
trial_log-200226-153621_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153621,12,2,Retention,0,0.334,0.871,0.108,2.608,0.34375525117749,0.0738100975485028,0.697134337593407,0.113817934176889
trial_log-200226-153726_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153726,12,2,Retention,0,0.416,0.879,0.47,2.115,0.299537207719725,0.042638597786922,0.704560989702531,0.148195449853292
trial_log-200226-153834_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153834,12,2,Retention,0,0.39,0.877,-0.249,2.251,0.306011961355365,0.0618403837703895,0.805688504586347,0.193715386760241
trial_log-200226-153940_task012_aud1_vis0_eps000_pp25_d2_test_periodic,25,2,200226-153940,12,2,Retention,0,0.372,0.828,-0.313,2.224,0.384349736097723,0.0416070910015275,0.914391893660942,0.142983834352314
trial_log-200220-104721_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-104721,12,-1,PreTest__,0,0.266,0.732,-0.252,2.753,0.386102821350732,0.0506225230323532,0.437767657863005,0.0914357879126571
trial_log-200220-104828_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-104828,12,-1,PreTest__,0,0.337,0.892,-0.131,2.647,0.337011604144904,0.0555026818317829,0.594804486559669,0.217033992297323
trial_log-200220-104935_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-104935,12,-1,PreTest__,0,0.18,0.717,-0.333,3.977,0.338958089090741,0.057803079489004,0.519425515322589,0.225457304231894
trial_log-200220-105041_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-105041,12,-1,PreTest__,0,0.199,0.84,0.288,4.221,0.297689742664505,0.0447050025400397,0.640553943027057,0.227865738174607
trial_log-200220-105146_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-105146,12,-1,PreTest__,0,0.213,0.85,-0.06,3.985,0.363649465497992,0.0698389987256521,0.518564540907845,0.203952322373427
trial_log-200220-121357_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-121357,12,1,PostTest_,0,0.35,0.892,-0,2.547,0.390066929553783,0.0631373960205629,0.364153619879537,0.0685514471904716
trial_log-200220-121503_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-121503,12,1,PostTest_,0,0.416,0.85,0.662,2.041,0.343813758953091,0.0435951296879,0.375489280421609,0.135295939628375
trial_log-200220-121608_task012_aud1_vis0_eps000_pp26_d1_test_periodic,26,1,200220-121608,12,1,PostTest_,0,0.21,0.724,-0.009,3.453,0.372613706706071,0.0562885287645133,0.411932910638913,0.112622156248176
trial_log-200221-114129_task012_aud1_vis0_eps000_pp26_d2_test_periodic,26,2,200221-114129,12,2,Retention,0,0.23,0.685,0.419,2.979,0.326374228197976,0.0797037311287106,0.43913042799381,0.137302146231182
trial_log-200221-114234_task012_aud1_vis0_eps000_pp26_d2_test_periodic,26,2,200221-114234,12,2,Retention,0,0.205,0.688,0.075,3.359,0.324548058531423,0.0828387711063254,0.507922793208916,0.202506457277057
trial_log-200221-114339_task012_aud1_vis0_eps000_pp26_d2_test_periodic,26,2,200221-114339,12,2,Retention,0,0.302,0.787,0.188,2.601,0.346410131505444,0.0534223038809689,0.523376334981282,0.142142514831336
trial_log-200221-114445_task012_aud1_vis0_eps000_pp26_d2_test_periodic,26,2,200221-114445,12,2,Retention,0,0.307,0.815,0.142,2.652,0.310603872583577,0.0727011774453207,0.509255157132946,0.143922715564673
trial_log-200221-114551_task012_aud1_vis0_eps000_pp26_d2_test_periodic,26,2,200221-114551,12,2,Retention,0,0.285,0.774,-0.293,2.715,0.341795815080098,0.0501803484294202,0.519788786956441,0.167588142119803
trial_log-200212-091702_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-091702,12,-1,PreTest__,0,0.123,0.56,0.354,4.547,0.297571608942344,0.0645455834594134,0.599902800807495,0.159605442680834
trial_log-200212-091828_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-091828,12,-1,PreTest__,0,0.15,0.735,0.071,4.91,0.379290424070552,0.0827958101429073,0.64991672834963,0.166490970661356
trial_log-200212-091931_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-091931,12,-1,PreTest__,0,0.198,0.907,0.157,4.586,0.319163468423516,0.080536157942334,0.542976128511578,0.192156965684062
trial_log-200212-092039_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-092039,12,-1,PreTest__,0,0.15,0.801,-0.31,5.34,0.406906270876765,0.05404659459345,0.766564586385924,0.219727672383001
trial_log-200212-092143_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-092143,12,-1,PreTest__,0,0.147,0.75,0.48,5.109,0.354389345008813,0.0713161943183193,0.802715146355028,0.126455226387674
trial_log-200212-104642_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-104642,12,1,PostTest_,0,0.121,0.806,0.031,6.665,0.381813931680431,0.0650883658759401,0.570184216178352,0.26433406523995
