"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","max_lyap_stim_short_PreTest","max_lyap_stim_short_PostTest","max_lyap_stim_short_Retention","max_lyap_stim_long_PreTest","max_lyap_stim_long_PostTest","max_lyap_stim_long_Retention","max_lyap_user_short_PreTest","max_lyap_user_short_PostTest","max_lyap_user_short_Retention","max_lyap_user_long_PreTest","max_lyap_user_long_PostTest","max_lyap_user_long_Retention"
"22","Periodic Fixed","Periodic Fixed",0.2548,0.452333333333333,0.283,0.7606,0.829333333333333,0.8116,3.0524,1.84166666666667,2.9246,0.23026069161232,0.236446943567754,0.236195702874028,0.0423698889260311,0.0159992580539318,0.0393577061508309,0.455094902644862,0.473570492132893,0.430495967031065,0.170923041352316,0.185074778621404,0.153999934729245
"23","Chaotic","Chaotic Non-interactive",0.3504,0.418666666666667,0.3544,0.5034,0.521666666666667,0.5166,1.4364,1.251,1.4558,1.86161835109618,1.82963344090291,1.85038544038966,0.421470501580913,0.40005940916612,0.414533954546875,0.376400226659754,0.555161026028404,0.449446500826196,0.0261283484299928,0.0487314306717493,0.0257767715858763
"23","Chaotic Visual","Chaotic Non-interactive",1.3796,1.253,1.5186,0.6186,0.520666666666667,0.5732,0.4498,0.417666666666667,0.3866,1.66024848319677,1.64858090722596,1.6598224575944,0.343782474745663,0.340857181597667,0.344994129317944,0.476238421128903,0.487301164469445,0.505896221513787,0.0397509433076069,0.0519256119450332,0.0460157854635858
"23","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.5446,0.484666666666667,0.6486,0.9362,0.927333333333333,0.9378,1.7618,2.077,1.4694,0.390461493280116,0.357344767095206,0.394156858317172,0.0766916293449548,0.0773393762734568,0.065722058674422,0.411874710822886,0.50093692295628,0.479457651324509,0.134880068509312,0.15249966368452,0.123989799381875
"23","Periodic Fixed","Chaotic Non-interactive",0.5514,0.636333333333333,0.4444,0.8448,0.927666666666667,0.9218,1.5338,1.51133333333333,2.0986,0.172368779413053,0.206382236854832,0.194522487854345,0.0285274324085539,0.0250236392903281,0.0344938733748539,0.262617732224497,0.424164918803328,0.310747954554063,0.108019166486331,0.105705240680107,0.110340432750841
"24","Chaotic","Periodic Fixed",0.3564,0.346666666666667,0.345,0.4496,0.502,0.5376,1.321,1.466,1.5818,1.85038544038966,1.85038544038966,1.8589808285852,0.414533954546875,0.414533954546875,0.418329858901523,0.385145342697793,0.3908814333835,0.525105185251433,0.0135926578859174,0.0209277612185282,0.0287581462317387
"24","Chaotic Visual","Periodic Fixed",1.6964,1.63266666666667,1.7822,0.6448,0.644333333333333,0.7242,0.38,0.395666666666667,0.4058,1.68358363513838,1.66802686717731,1.69525121110919,0.349633061041654,0.34573267017766,0.352558354189649,0.476975135121317,0.489564424986508,0.533388183744873,0.0314600712182115,0.0456254232644249,0.0522752011257564
"24","Periodic Fadeout (SCT)","Periodic Fixed",0.5392,0.724,0.5796,0.9286,0.963666666666667,0.9574,1.874,1.35866666666667,1.6932,0.355119959977296,0.370627509480016,0.401196690846508,0.0629002127975658,0.0489513474911335,0.0735337006539707,0.484825881518601,0.42269726896931,0.418187583661401,0.13587797079876,0.164350711112891,0.134854511451626
"24","Periodic Fixed","Periodic Fixed",0.5272,0.471333333333333,0.4258,0.8782,0.906,0.7822,1.7326,1.92866666666667,1.8348,0.198238431542496,0.199456771505952,0.186253536047811,0.0379414769422251,0.0428920890907596,0.0380435807250418,0.32131975885456,0.318079701853302,0.354580930182513,0.12913987439969,0.114934593342765,0.115642685182022
"25","Chaotic","Chaotic Interactive",0.2888,0.468,0.3834,0.4414,0.499333333333333,0.4862,1.5684,1.06666666666667,1.2754,1.86161835109618,1.85038544038966,1.87285126180269,0.421470501580913,0.414533954546875,0.428407048614952,0.386847768268863,0.388526358104046,0.461910524274174,0.033098857594584,0.0413652195513268,0.0544076374460694
"25","Chaotic Visual","Chaotic Interactive",1.8062,1.68266666666667,2.0334,0.6564,0.609333333333333,0.7134,0.3636,0.362333333333333,0.351,1.64858090722596,1.68747282712865,1.64858090722596,0.340857181597667,0.350608158757652,0.340857181597667,0.546351524949338,0.501788315700599,0.543286881000895,0.0445457900957726,0.045470567216943,0.0377276198854286
"25","Periodic Fadeout (SCT)","Chaotic Interactive",0.227,0.318,0.3558,0.7602,0.852,0.8634,3.4734,2.68666666666667,2.486,0.296138050732207,0.299267476092381,0.338477459847537,0.0506946565853231,0.0649764839595936,0.0548558814616491,0.738527703600568,0.64448053941497,0.737380633106922,0.184045373145037,0.0894132861409765,0.138719406804332
"25","Periodic Fixed","Chaotic Interactive",0.3236,0.517666666666667,0.5194,0.7028,0.726666666666667,0.7766,2.2046,1.40833333333333,1.614,0.209843743357673,0.129646902557781,0.179242266897624,0.0311804974496533,0.0252643265739773,0.0391246166015749,0.472769092021916,0.384670681131968,0.438918925509143,0.135578362935445,0.110390897141816,0.144084617879279
"26","Chaotic","Chaotic Interactive",0.2116,0.227,0.476,0.44,0.402666666666667,0.5574,2.4554,2.13266666666667,1.185,1.83793424069761,1.88782847607805,1.86161835109618,0.405849227318422,0.43765577799367,0.421470501580913,0.398752583674683,0.398213533189327,0.397863430786825,0.0577338121294582,0.0914921119723196,0.0985534143893122
"26","Chaotic Visual","Chaotic Interactive",1.4746,1.46433333333333,1.5818,0.5624,0.547333333333333,0.6494,0.3802,0.373666666666667,0.4104,1.68358363513838,1.66802686717731,1.69525121110919,0.349633061041654,0.34573267017766,0.352558354189649,0.385768934637797,0.335819411424388,0.462894052181505,0.0415654704646799,0.0383287348787151,0.030719480500838
"26","Periodic Fadeout (SCT)","Chaotic Interactive",0.239,0.325333333333333,0.2658,0.8062,0.822,0.7498,3.5166,2.68033333333333,2.8612,0.344682344549775,0.368831465070982,0.329946421179704,0.0556944571237664,0.0543403514909921,0.0677692663981492,0.542223228736033,0.383858603646686,0.499894700054679,0.193149028997982,0.105489847689008,0.15869239520481
"26","Periodic Fixed","Chaotic Interactive",0.2018,0.348666666666667,0.5586,0.5742,0.646,0.8218,3.1282,2.099,1.5046,0.178657809163216,0.190829092810016,0.175141520173767,0.0260342437088849,0.0426882889532793,0.0351280173604061,0.379854493959761,0.289653577345724,0.376349570883042,0.110773430254642,0.10655701717216,0.152934755958019
"27","Chaotic","Periodic Fixed",0.13,0.136333333333333,0.121,0.3944,0.421666666666667,0.2778,3.041,3.18533333333333,2.317,1.86161835109618,1.90654999392224,1.87285126180269,0.421470501580913,0.449216689717067,0.428407048614952,0.517236818498318,0.484248991744323,0.419029503053549,0.034361960212744,0.0597151364437381,0.0223087597950443
"27","Chaotic Visual","Periodic Fixed",1.1516,1.04766666666667,1.0218,0.5012,0.478,0.4408,0.4404,0.457,0.4324,1.66024848319677,1.66802686717731,1.66024848319677,0.343782474745663,0.34573267017766,0.343782474745663,0.374764560439512,0.478360450955813,0.40185459143107,0.0232594110170191,0.00246857938363231,0.0177844261281806
"27","Periodic Fadeout (SCT)","Periodic Fixed",0.1536,0.141,0.1984,0.7506,0.857333333333333,0.8924,4.8984,6.38,4.5294,0.351464223464398,0.3836049979779,0.371234957639332,0.0706480680912848,0.075112148692505,0.0574962721086438,0.672415078081931,0.549668026633822,0.55002609345432,0.172887255559385,0.229308356867706,0.158069017877516
"27","Periodic Fixed","Periodic Fixed",0.0608,0.264333333333333,0.183,0.2008,0.75,0.5542,3.4178,2.91533333333333,3.1684,0.212314268197533,0.227912910607483,0.231126372435625,0.0405761660464114,0.0439310799190063,0.0322851893666636,0.462154312688465,0.352492507186384,0.370606551588187,0.0778884038534106,0.149046461519312,0.122989802123276
"28","Chaotic","Chaotic Interactive",0.322,0.408666666666667,0.363,0.4278,0.482333333333333,0.478,1.3406,1.18266666666667,1.333,1.88408417250921,1.80854653384964,1.86161835109618,0.43534359564899,0.386177726634429,0.421470501580913,0.416379107125904,0.563087438645823,0.505947495495414,0.0224808448212263,0.0685397808192631,0.04350335440312
"28","Chaotic Visual","Chaotic Interactive",1.621,1.493,1.8388,0.6352,0.579666666666667,0.7364,0.3912,0.388666666666667,0.4006,1.67191605916758,1.64858090722596,1.67191605916758,0.346707767893658,0.340857181597667,0.346707767893658,0.541139908863966,0.492066587332173,0.484500730066381,0.0353538781903258,0.0499244968046771,0.0335067088571249
"28","Periodic Fadeout (SCT)","Chaotic Interactive",0.4846,0.467,0.3802,0.9208,0.935333333333333,0.9104,1.923,2.00666666666667,2.406,0.281333008524824,0.255412601294952,0.27761056409914,0.0518510553518129,0.0401043186486086,0.0450116032611917,0.6693457518746,0.667499727070732,0.487289855338416,0.116487812197373,0.119814757215537,0.097300606084416
"28","Periodic Fixed","Chaotic Interactive",0.2608,0.273333333333333,0.4574,0.4424,0.475,0.7004,1.7012,1.733,1.5328,0.16783493418167,0.200703995803594,0.170922416580032,0.0304808317108779,0.0413685498996938,0.0277412118246043,0.615999781159495,0.54531403293177,0.572998678399517,0.15341213313428,0.135373837250008,0.169999211563448
"30","Chaotic","Chaotic Interactive",0.2746,0.501333333333333,0.3924,0.4008,0.52,0.4526,1.4968,1.037,1.1684,1.87285126180269,1.86910695823385,1.86161835109618,0.428407048614952,0.426094866270272,0.421470501580913,0.387986217853107,0.461871672353217,0.3554416133149,0.030636185622408,0.0908413802794146,0.0424773574394651
"30","Chaotic Visual","Chaotic Interactive",1.5482,1.42533333333333,1.5332,0.543,0.493333333333333,0.5156,0.3528,0.346666666666667,0.337,1.69525121110919,1.64858090722596,1.67191605916758,0.352558354189649,0.340857181597667,0.346707767893658,0.533819211935722,0.564578104983926,0.609928116287124,0.0403642122196041,0.0334202712917696,0.0469741744093864
"30","Periodic Fadeout (SCT)","Chaotic Interactive",0.1006,0.246333333333333,0.153,0.385,0.74,0.4976,3.818,3.15766666666667,3.264,0.336384071374755,0.358128729630527,0.359001581148523,0.0442191917790899,0.0678225289712692,0.069574366206951,0.596023633674183,0.633033757171816,0.573667298875014,0.108257560840005,0.158268475054853,0.104498447865376
"30","Periodic Fixed","Chaotic Interactive",0.0976,0.305333333333333,0.0834,0.1624,0.541333333333333,0.2348,1.8054,1.81133333333333,2.8334,0.209430266624418,0.190648376106381,0.237377006847298,0.0362748355207191,0.0388586043996615,0.0345960623922833,0.275939622103616,0.449119069573125,0.341157207029743,0.0819040154555849,0.118197764470864,0.108646770091796
