"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","max_lyap_stim_short_PreTest","max_lyap_stim_short_PostTest","max_lyap_stim_short_Retention","max_lyap_stim_long_PreTest","max_lyap_stim_long_PostTest","max_lyap_stim_long_Retention","max_lyap_user_short_PreTest","max_lyap_user_short_PostTest","max_lyap_user_short_Retention","max_lyap_user_long_PreTest","max_lyap_user_long_PostTest","max_lyap_user_long_Retention"
"8","Chaotic","Chaotic Non-interactive",0.4138,0.413333333333333,0.3638,0.592,0.558666666666667,0.5522,1.4398,1.415,1.5272,1.88408417250921,1.88782847607805,1.86161835109618,0.43534359564899,0.43765577799367,0.421470501580913,0.473378613014979,0.54748454476463,0.478672179032924,0.0403579688835163,0.0528733266327358,0.0334704102577173
"8","Chaotic Visual","Chaotic Non-interactive",1.7446,1.81266666666667,1.7414,0.6624,0.696666666666667,0.643,0.3792,0.385,0.37,1.68358363513838,1.66802686717731,1.67191605916758,0.349633061041654,0.34573267017766,0.346707767893658,0.414616100295712,0.421234681076021,0.427892919632466,0.0202038373260373,0.0153263024315957,0.022510826715212
"8","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3832,0.381,0.594,0.8922,0.909333333333333,0.9468,2.3914,2.39066666666667,1.6484,0.366766790870535,0.308948359208294,0.355242262426633,0.0878277432283112,0.046043791538133,0.0708734553780079,0.440481987879849,0.588946830955278,0.365974875090571,0.133753502534718,0.130447324079613,0.144899455331516
"8","Periodic Fixed","Chaotic Non-interactive",0.4124,0.467666666666667,0.3372,0.8832,0.875333333333333,0.8914,2.221,1.93766666666667,2.6846,0.213762587962788,0.17600693382169,0.250953043521824,0.041982393925341,0.0375430841841991,0.0409677668375674,0.363906808752075,0.381415387972465,0.30744239114885,0.147537615934701,0.130452838727159,0.139836833689172
"9","Chaotic","Chaotic Non-interactive",0.3752,0.509,0.571,0.4682,0.572,0.6964,1.2644,1.12833333333333,1.2228,1.86161835109618,1.86910695823385,1.86161835109618,0.421470501580913,0.426094866270272,0.421470501580913,0.546368025944008,0.428765762185533,0.48761569076917,0.0256074707077755,0.0102051951204428,0.0331564195309872
"9","Chaotic Visual","Chaotic Non-interactive",1.879,1.951,1.8606,0.7392,0.763666666666667,0.7874,0.3944,0.391333333333333,0.4236,1.64858090722596,1.68747282712865,1.68315760953601,0.340857181597667,0.350608158757652,0.350844715613936,0.619468448441285,0.592522632835831,0.607625938458064,0.0445875862394462,0.042926148540218,0.0306194989000741
"9","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3544,0.411666666666667,0.3644,0.9034,0.903666666666667,0.8962,2.554,2.19666666666667,2.4796,0.289431073167785,0.26216294932626,0.349461910554201,0.0571572294383021,0.065085318261866,0.0772938137129661,0.675126182898268,0.594918036222653,0.524147846240043,0.225685258103665,0.164436014941165,0.15516466049954
"9","Periodic Fixed","Chaotic Non-interactive",0.3522,0.307666666666667,0.4098,0.7552,0.702666666666667,0.8936,2.3358,2.35133333333333,2.4626,0.166061543850404,0.211950013178387,0.204253604062661,0.029252791020981,0.0133095652784614,0.043993048313968,0.486526493348187,0.420794166808136,0.409551546701482,0.144824335271142,0.145442822488013,0.121890457716971
"10","Chaotic","Chaotic Interactive",0.4038,0.519333333333333,0.4254,0.5066,0.569,0.5404,1.2598,1.126,1.2814,1.85038544038966,1.82963344090291,1.86161835109618,0.414533954546875,0.40005940916612,0.421470501580913,0.435854276828918,0.510272065581111,0.526238746918518,0.0322702646517439,0.0614104675453355,0.0439575091359199
"10","Chaotic Visual","Chaotic Interactive",1.6238,1.912,1.8846,0.5666,0.609666666666667,0.6098,0.352,0.320666666666667,0.3242,1.66024848319677,1.68747282712865,1.68358363513838,0.343782474745663,0.350608158757652,0.349633061041654,0.696238709778747,0.875768657013431,0.694267837315387,0.0517072124102324,0.0327038092356401,0.0489422249122822
