"pp","task_label","score_PreTest","score_PostTest","score_Retention","Training","TrainingPhase","score_Delta","c_PreTest","c_PostTest","c_Retention","c_Delta","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","pitch_error_Delta","mlss_PreTest","mlss_PostTest","mlss_Retention","mlss_Delta","mlsl_PreTest","mlsl_PostTest","mlsl_Retention","mlsl_Delta","mlus_PreTest","mlus_PostTest","mlus_Retention","mlus_Delta","mlul_PreTest","mlul_PostTest","mlul_Retention","mlul_Delta"
1,"Chaotic",0.664666666666667,0.4352,0.4712,"Chaotic Interactive","PostDelta",52.7267156862745,0.637,0.5144,0.5632,23.8335925349922,0.960666666666667,1.1908,1.1986,-19.3259433434106,1.88782847607805,1.87285126180269,1.86161835109618,0.79970121390945,0.43765577799367,0.428407048614952,0.421470501580913,2.15886489464148,0.515069872332556,0.373034632661431,0.556494147958842,38.0756174454282,0.0901767827851638,0.0183114722546615,0.0717196497762011,392.460581711052
1,"Chaotic",0.664666666666667,0.4352,0.4712,"Chaotic Interactive","RetentionDelta",8.27205882352942,0.637,0.5144,0.5632,9.48678071539659,0.960666666666667,1.1908,1.1986,0.655021834061138,1.88782847607805,1.87285126180269,1.86161835109618,-0.599775910432097,0.43765577799367,0.428407048614952,0.421470501580913,-1.61914867098111,0.515069872332556,0.373034632661431,0.556494147958842,49.1802903093772,0.0901767827851638,0.0183114722546615,0.0717196497762011,291.665119979327
1,"Chaotic Visual",1.40933333333333,1.6446,1.476,"Chaotic Interactive","PostDelta",-14.3054035429081,0.591666666666667,0.5976,0.6378,-0.99286033020973,0.427333333333333,0.3668,0.433,16.5030897855325,1.66802686717731,1.68358363513838,1.64858090722596,-0.92402703592439,0.34573267017766,0.349633061041654,0.340857181597667,-1.11556694677951,0.656326198995135,0.618930206452796,0.614802599595999,6.04203707501418,0.0560465680969381,0.0527581807911685,0.0688708000946347,6.23294294165665
1,"Chaotic Visual",1.40933333333333,1.6446,1.476,"Chaotic Interactive","RetentionDelta",-10.251732944181,0.591666666666667,0.5976,0.6378,6.72690763052209,0.427333333333333,0.3668,0.433,18.0479825517993,1.66802686717731,1.68358363513838,1.64858090722596,-2.07906083082987,0.34573267017766,0.349633061041654,0.340857181597667,-2.5100256302539,0.656326198995135,0.618930206452796,0.614802599595999,-0.666893748885248,0.0560465680969381,0.0527581807911685,0.0688708000946347,30.540513455618
1,"Periodic Fadeout (SCT)",0.598333333333333,0.6042,0.6454,"Chaotic Interactive","PostDelta",-0.970980911397977,0.952333333333333,0.9592,0.9478,-0.715874339727553,1.60766666666667,1.5912,1.518,1.03485838779956,0.375002851566661,0.347346239453047,0.401163399378471,7.96226041115745,0.0363104949961901,0.0739170861954226,0.0581154028724874,-50.8767230080037,0.558809491798494,0.39689082911476,0.387562101791191,40.7967760416344,0.185486128657185,0.137688608500777,0.130449914273682,34.7142154146607
1,"Periodic Fadeout (SCT)",0.598333333333333,0.6042,0.6454,"Chaotic Interactive","RetentionDelta",6.81893412777226,0.952333333333333,0.9592,0.9478,-1.18849040867389,1.60766666666667,1.5912,1.518,-4.60030165912518,0.375002851566661,0.347346239453047,0.401163399378471,15.4938081408821,0.0363104949961901,0.0739170861954226,0.0581154028724874,-21.3775787659684,0.558809491798494,0.39689082911476,0.387562101791191,-2.35045172103779,0.185486128657185,0.137688608500777,0.130449914273682,-5.25729347250512
1,"Periodic Fixed",0.536,0.5436,0.6374,"Chaotic Interactive","PostDelta",-1.39808682855039,0.906,0.852,0.9474,6.33802816901409,1.71966666666667,1.7218,1.5562,-0.123901343555193,0.219308759375609,0.199587678727157,0.220083385306104,9.8809108729659,0.0383025294482025,0.0471890085688784,0.0424719268367433,-18.831671590864,0.385508308116685,0.393185849018312,0.337371141555252,-1.95264934401792,0.124654007141916,0.123042326076285,0.108995399947868,1.3098590680344
1,"Periodic Fixed",0.536,0.5436,0.6374,"Chaotic Interactive","RetentionDelta",17.2553348050037,0.906,0.852,0.9474,11.1971830985916,1.71966666666667,1.7218,1.5562,-9.61784179347194,0.219308759375609,0.199587678727157,0.220083385306104,10.269023974654,0.0383025294482025,0.0471890085688784,0.0424719268367433,-9.99614502442856,0.385508308116685,0.393185849018312,0.337371141555252,-14.1955026108941,0.124654007141916,0.123042326076285,0.108995399947868,-11.4163366187565
4,"Chaotic",0.431,0.3134,0.2914,"Chaotic Interactive","PostDelta",37.5239310784939,0.564,0.511,0.5128,10.371819960861,1.31266666666667,1.6362,1.7652,-19.7734588273642,1.85038544038966,1.86161835109618,1.83793424069761,-0.603394927854123,0.414533954546875,0.421470501580913,0.405849227318422,-1.64579656417704,0.504847184853118,0.511195361049615,0.484634879173433,-1.24182977393659,0.0597994885364128,0.0435907280877936,0.0314138329384473,37.1839635620998
4,"Chaotic",0.431,0.3134,0.2914,"Chaotic Interactive","RetentionDelta",-7.01978302488833,0.564,0.511,0.5128,0.352250489236795,1.31266666666667,1.6362,1.7652,7.88412174550787,1.85038544038966,1.86161835109618,1.83793424069761,-1.27223232326959,0.414533954546875,0.421470501580913,0.405849227318422,-3.70637427860233,0.504847184853118,0.511195361049615,0.484634879173433,-5.1957595666844,0.0597994885364128,0.0435907280877936,0.0314138329384473,-27.9345991303964
