"pp","task_label","training_phase_label","score","c","pitch_error","max_lyap_stim_short","max_lyap_stim_long","max_lyap_user_short","max_lyap_user_long","Training"
"1","Chaotic","PreTest",0.4352,0.5144,1.1908,1.87285126180269,0.428407048614952,0.373034632661431,0.0183114722546615,"Chaotic Interactive"
"1","Chaotic","PostTest",0.664666666666667,0.637,0.960666666666667,1.88782847607805,0.43765577799367,0.515069872332556,0.0901767827851638,"Chaotic Interactive"
"1","Chaotic","Retention",0.4712,0.5632,1.1986,1.86161835109618,0.421470501580913,0.556494147958842,0.0717196497762011,"Chaotic Interactive"
"1","Chaotic Visual","PreTest",1.6446,0.5976,0.3668,1.68358363513838,0.349633061041654,0.618930206452796,0.0527581807911685,"Chaotic Interactive"
"1","Chaotic Visual","PostTest",1.40933333333333,0.591666666666667,0.427333333333333,1.66802686717731,0.34573267017766,0.656326198995135,0.0560465680969381,"Chaotic Interactive"
"1","Chaotic Visual","Retention",1.476,0.6378,0.433,1.64858090722596,0.340857181597667,0.614802599595999,0.0688708000946347,"Chaotic Interactive"
"1","Periodic Fadeout (SCT)","PreTest",0.6042,0.9592,1.5912,0.347346239453047,0.0739170861954226,0.39689082911476,0.137688608500777,"Chaotic Interactive"
"1","Periodic Fadeout (SCT)","PostTest",0.598333333333333,0.952333333333333,1.60766666666667,0.375002851566661,0.0363104949961901,0.558809491798494,0.185486128657185,"Chaotic Interactive"
"1","Periodic Fadeout (SCT)","Retention",0.6454,0.9478,1.518,0.401163399378471,0.0581154028724874,0.387562101791191,0.130449914273682,"Chaotic Interactive"
"1","Periodic Fixed","PreTest",0.5436,0.852,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,"Chaotic Interactive"
"1","Periodic Fixed","PostTest",0.536,0.906,1.71966666666667,0.219308759375609,0.0383025294482025,0.385508308116685,0.124654007141916,"Chaotic Interactive"
"1","Periodic Fixed","Retention",0.6374,0.9474,1.5562,0.220083385306104,0.0424719268367433,0.337371141555252,0.108995399947868,"Chaotic Interactive"
"4","Chaotic","PreTest",0.3134,0.511,1.6362,1.86161835109618,0.421470501580913,0.511195361049615,0.0435907280877936,"Chaotic Interactive"
"4","Chaotic","PostTest",0.431,0.564,1.31266666666667,1.85038544038966,0.414533954546875,0.504847184853118,0.0597994885364128,"Chaotic Interactive"
"4","Chaotic","Retention",0.2914,0.5128,1.7652,1.83793424069761,0.405849227318422,0.484634879173433,0.0314138329384473,"Chaotic Interactive"
"4","Chaotic Visual","PreTest",1.7835,0.6035,0.33925,1.64858090722596,0.340857181597667,0.424211038385999,0.0269976601975102,"Chaotic Interactive"
"4","Chaotic Visual","PostTest",1.737,0.578666666666667,0.332666666666667,1.66802686717731,0.34573267017766,0.587807286621093,0.0504745658127958,"Chaotic Interactive"
"4","Chaotic Visual","Retention",1.6114,0.5724,0.3558,1.67191605916758,0.346707767893658,0.499550818942234,0.0572843766287014,"Chaotic Interactive"
"4","Periodic Fadeout (SCT)","PreTest",0.3978,0.937,2.3724,0.356210701513809,0.0608552145149731,0.3435474047884,0.0943297821147531,"Chaotic Interactive"
"4","Periodic Fadeout (SCT)","PostTest",0.560333333333333,0.939333333333333,1.735,0.36208278141644,0.072673316004897,0.427106005204504,0.123622882118578,"Chaotic Interactive"
"4","Periodic Fadeout (SCT)","Retention",0.708,0.946,1.3692,0.376843207189489,0.0744710991058989,0.393979969380279,0.0867909286651692,"Chaotic Interactive"
"4","Periodic Fixed","PreTest",0.5578,0.9396,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,"Chaotic Interactive"
"4","Periodic Fixed","PostTest",0.490666666666667,0.924333333333333,1.88633333333333,0.171486439508904,0.0334868342655756,0.248500709458708,0.0818959156199455,"Chaotic Interactive"
"4","Periodic Fixed","Retention",0.634,0.9478,1.5456,0.204999588011934,0.0317535316258435,0.283452380673821,0.0825607160356708,"Chaotic Interactive"
"5","Chaotic","PreTest",0.2594,0.4396,1.7,1.88408417250921,0.43534359564899,0.322053408278573,0.0177412988108216,"Chaotic Non-interactive"
"5","Chaotic","PostTest",0.269666666666667,0.457,1.72233333333333,1.86910695823385,0.426094866270272,0.436144953763244,0.0345518197726284,"Chaotic Non-interactive"
"5","Chaotic","Retention",0.3354,0.477,1.4264,1.83793424069761,0.405849227318422,0.404345731534166,0.0254330784143972,"Chaotic Non-interactive"
"5","Chaotic Visual","PreTest",1.523,0.6276,0.4138,1.66024848319677,0.343782474745663,0.476579918756309,0.0162972476393569,"Chaotic Non-interactive"
"5","Chaotic Visual","PostTest",1.57833333333333,0.578,0.368333333333333,1.64858090722596,0.340857181597667,0.438790124301848,0.0284293237961994,"Chaotic Non-interactive"
"5","Chaotic Visual","Retention",1.566,0.5664,0.3634,1.66024848319677,0.343782474745663,0.397727392709921,0.0293195858850826,"Chaotic Non-interactive"
"5","Periodic Fadeout (SCT)","PreTest",0.3818,0.858,2.2688,0.332393575874653,0.0682187934535605,0.462230363818791,0.129575331535998,"Chaotic Non-interactive"
"5","Periodic Fadeout (SCT)","PostTest",0.301,0.898333333333333,2.988,0.382115147510976,0.0702324737436389,0.524357193020675,0.205318133483075,"Chaotic Non-interactive"
"5","Periodic Fadeout (SCT)","Retention",0.5468,0.9252,1.7028,0.369272792444257,0.0657267853312052,0.445184154027475,0.104627914317409,"Chaotic Non-interactive"
"5","Periodic Fixed","PreTest",0.372,0.7986,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,"Chaotic Non-interactive"
