"file_name","pp","day","date","task_code","training_phase","visual","trial_duration","samples_num","score","c","tau","pitch_error","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","score_delta","c_delta","tau_delta","pitch_error_delta"
"trial_log-200123-131358_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131358","25","Training",0,59.999,5466,0.448,0.568,-0.05,1.268,"25","Chaotic Interactive","Chaotic Interactive Training",4,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131511_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131511","25","Training",0,59.95,5368,0.323,0.494,0.006,1.53,"25","Chaotic Interactive","Chaotic Interactive Training",5,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131634_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131634","25","Training",0,59.976,5440,0.366,0.553,-0.141,1.509,"25","Chaotic Interactive","Chaotic Interactive Training",6,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131749_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131749","25","Training",0,59.999,5330,0.442,0.593,-0.146,1.341,"25","Chaotic Interactive","Chaotic Interactive Training",7,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131900_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131900","25","Training",0,59.992,5388,0.274,0.451,-0.057,1.647,"25","Chaotic Interactive","Chaotic Interactive Training",8,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132015_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132015","25","Training",0,59.975,5210,0.332,0.537,0.193,1.619,"25","Chaotic Interactive","Chaotic Interactive Training",9,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132124_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132124","25","Training",0,59.992,5452,0.351,0.528,-0.081,1.503,"25","Chaotic Interactive","Chaotic Interactive Training",10,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132545_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132545","25","Training",0,59.988,5218,0.56,0.594,0.006,1.062,"25","Chaotic Interactive","Chaotic Interactive Training",11,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132702_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132702","25","Training",0,59.982,5462,0.546,0.584,0.011,1.07,"25","Chaotic Interactive","Chaotic Interactive Training",12,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132815_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132815","25","Training",0,59.991,5503,0.395,0.469,-0.158,1.188,"25","Chaotic Interactive","Chaotic Interactive Training",13,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132929_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132929","25","Training",0,59.989,5452,0.508,0.607,0.135,1.195,"25","Chaotic Interactive","Chaotic Interactive Training",14,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133039_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133039","25","Training",0,59.994,5299,0.383,0.568,-0.104,1.48,"25","Chaotic Interactive","Chaotic Interactive Training",15,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133150_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133150","25","Training",0,59.998,5110,0.324,0.524,0.213,1.617,"25","Chaotic Interactive","Chaotic Interactive Training",16,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133300_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133300","25","Training",0,59.992,5300,0.449,0.589,0.176,1.313,"25","Chaotic Interactive","Chaotic Interactive Training",17,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133410_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133410","25","Training",0,59.998,5314,0.335,0.542,0.189,1.617,"25","Chaotic Interactive","Chaotic Interactive Training",18,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133521_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133521","25","Training",0,59.987,5340,0.441,0.566,0.142,1.285,"25","Chaotic Interactive","Chaotic Interactive Training",19,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133632_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133632","25","Training",0,59.994,5358,0.415,0.533,-0.084,1.285,"25","Chaotic Interactive","Chaotic Interactive Training",20,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134111_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134111","25","Training",0,59.997,5253,0.479,0.628,-0.036,1.309,"25","Chaotic Interactive","Chaotic Interactive Training",21,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134225_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134225","25","Training",0,59.998,5198,0.527,0.555,0.168,1.052,"25","Chaotic Interactive","Chaotic Interactive Training",22,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134349_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134349","25","Training",0,59.995,5306,0.516,0.638,-0.073,1.238,"25","Chaotic Interactive","Chaotic Interactive Training",23,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134505_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134505","25","Training",0,59.992,5529,0.51,0.631,0.023,1.237,"25","Chaotic Interactive","Chaotic Interactive Training",24,NA,NA,NA,NA,NA,NA,NA,NA
