"file_name","pp","day","date","task_code","training_phase","visual","trial_duration","samples_num","score","c","tau","pitch_error","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","score_delta","c_delta","tau_delta","pitch_error_delta"
"trial_log-200123-130457_task020_aud0_vis1_eps000_pp1_d1_test_visual.txt","1",1,"200123-130457","20.5","PreTest",1,59.988,5366,1.245,0.509,0.035,0.409,"25","Chaotic Interactive","Chaotic Visual",4,1.6446,0.5976,-0.1014,0.3668,-0.242977015687705,-14.8259705488621,-134.516765285996,11.504907306434
"trial_log-200123-130605_task020_aud0_vis1_eps000_pp1_d1_test_visual.txt","1",1,"200123-130605","20.5","PreTest",1,59.991,5340,1.821,0.622,0.001,0.342,"25","Chaotic Interactive","Chaotic Visual",5,1.6446,0.5976,-0.1014,0.3668,0.10726012404232,4.08299866131191,-100.986193293886,-6.76117775354416
"trial_log-200123-131008_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131008","25","Training",0,59.992,5455,0.487,0.562,-0.234,1.156,"25","Chaotic Interactive","Chaotic Interactive Training",1,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131128_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131128","25","Training",0,59.999,5426,0.541,0.652,-0.027,1.206,"25","Chaotic Interactive","Chaotic Interactive Training",2,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131242_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131242","25","Training",0,59.992,5497,0.416,0.559,-0.211,1.343,"25","Chaotic Interactive","Chaotic Interactive Training",3,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131358_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131358","25","Training",0,59.999,5466,0.448,0.568,-0.05,1.268,"25","Chaotic Interactive","Chaotic Interactive Training",4,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131511_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131511","25","Training",0,59.95,5368,0.323,0.494,0.006,1.53,"25","Chaotic Interactive","Chaotic Interactive Training",5,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131634_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131634","25","Training",0,59.976,5440,0.366,0.553,-0.141,1.509,"25","Chaotic Interactive","Chaotic Interactive Training",6,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131749_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131749","25","Training",0,59.999,5330,0.442,0.593,-0.146,1.341,"25","Chaotic Interactive","Chaotic Interactive Training",7,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-131900_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-131900","25","Training",0,59.992,5388,0.274,0.451,-0.057,1.647,"25","Chaotic Interactive","Chaotic Interactive Training",8,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132015_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132015","25","Training",0,59.975,5210,0.332,0.537,0.193,1.619,"25","Chaotic Interactive","Chaotic Interactive Training",9,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132124_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132124","25","Training",0,59.992,5452,0.351,0.528,-0.081,1.503,"25","Chaotic Interactive","Chaotic Interactive Training",10,NA,NA,NA,NA,NA,NA,NA,NA
