FileName,PP,Day,Date,TaskCode,TrainingPhase,Visual,TrialDuration,SamplesNum,Score,C,tau,PitchError
trial_log-200123-133521_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-133521,25,Training_,0,59.987,5340,0.441,0.566,0.142,1.285
trial_log-200123-133632_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-133632,25,Training_,0,59.994,5358,0.415,0.533,-0.084,1.285
trial_log-200123-134111_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-134111,25,Training_,0,59.997,5253,0.479,0.628,-0.036,1.309
trial_log-200123-134225_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-134225,25,Training_,0,59.998,5198,0.527,0.555,0.168,1.052
trial_log-200123-134349_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-134349,25,Training_,0,59.995,5306,0.516,0.638,-0.073,1.238
trial_log-200123-134505_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-134505,25,Training_,0,59.992,5529,0.51,0.631,0.023,1.237
trial_log-200123-134624_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-134624,25,Training_,0,59.988,5438,0.619,0.672,0.24,1.086
trial_log-200123-134751_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-134751,25,Training_,0,59.995,5627,1.597,0.897,0.001,0.562
trial_log-200123-134914_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-134914,25,Training_,0,59.993,5695,1.029,0.792,0.078,0.77
trial_log-200123-135032_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-135032,25,Training_,0,59.995,5508,0.603,0.606,0.116,1.006
trial_log-200123-135144_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-135144,25,Training_,0,59.991,5528,0.58,0.601,0.299,1.037
trial_log-200123-135309_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-135309,25,Training_,0,59.999,5618,0.632,0.627,0.211,0.992
trial_log-200123-135756_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-135756,25,Training_,0,59.994,5427,0.599,0.652,-0.173,1.089
trial_log-200123-135911_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-135911,25,Training_,0,59.993,5441,0.631,0.64,-0.184,1.014
trial_log-200123-140025_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140025,25,Training_,0,59.99,5564,0.52,0.557,0.003,1.072
trial_log-200123-140148_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140148,25,Training_,0,59.986,5566,0.796,0.733,-0.062,0.921
trial_log-200123-140312_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140312,25,Training_,0,59.998,5555,0.431,0.498,0.035,1.154
trial_log-200123-140428_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140428,25,Training_,0,59.99,5610,0.592,0.613,0.143,1.035
trial_log-200123-140539_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140539,25,Training_,0,59.991,5530,0.572,0.602,0.137,1.053
trial_log-200123-140700_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140700,25,Training_,0,59.995,5598,0.569,0.542,-0.135,0.953
trial_log-200123-140810_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140810,25,Training_,0,59.991,5583,0.62,0.648,0.029,1.045
trial_log-200123-140924_task025_aud1_vis0_eps070_pp1_d1_.txt,1,1,200123-140924,25,Training_,0,59.993,5558,0.576,0.572,0.173,0.993
trial_log-200123-141253_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt,1,1,200123-141253,11,PostTest_,0,59.999,5716,0.611,0.936,-0.051,1.533
trial_log-200123-141400_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt,1,1,200123-141400,11,PostTest_,0,59.997,5688,0.456,0.964,-0.165,2.114
trial_log-200123-141506_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt,1,1,200123-141506,11,PostTest_,0,59.99,5668,0.541,0.818,0.155,1.512
trial_log-200123-141634_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt,1,1,200123-141634,12,PostTest_,0,59.99,5934,0.571,0.953,0.043,1.67
trial_log-200123-141742_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt,1,1,200123-141742,12,PostTest_,0,59.996,5903,0.687,0.966,-0.098,1.406
trial_log-200123-141847_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt,1,1,200123-141847,12,PostTest_,0,59.993,5906,0.537,0.938,0.025,1.747
trial_log-200123-142013_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt,1,1,200123-142013,20,PostTest_,0,59.981,5496,0.652,0.598,-0.154,0.916
trial_log-200123-142119_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt,1,1,200123-142119,20,PostTest_,0,59.983,5604,0.71,0.646,0.236,0.91
trial_log-200123-142225_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt,1,1,200123-142225,20,PostTest_,0,59.981,5523,0.632,0.667,0.429,1.056
trial_log-200123-142357_task020_aud0_vis1_eps000_pp1_d1_test_visual.txt,1,1,200123-142357,20,PostTest_,1,59.976,5617,1.327,0.604,-0.016,0.455
trial_log-200123-142502_task020_aud0_vis1_eps000_pp1_d1_test_visual.txt,1,1,200123-142502,20,PostTest_,1,59.988,5652,1.107,0.501,0.048,0.453
trial_log-200123-142611_task020_aud0_vis1_eps000_pp1_d1_test_visual.txt,1,1,200123-142611,20,PostTest_,1,59.992,5668,1.794,0.67,-0.13,0.374
trial_log-200124-113403_task011_aud1_vis0_eps000_pp1_d2_test_SCT.txt,1,2,200124-113403,11,Retention,0,59.993,5715,0.54,0.954,-0.128,1.768
trial_log-200124-113513_task011_aud1_vis0_eps000_pp1_d2_test_SCT.txt,1,2,200124-113513,11,Retention,0,59.997,5786,0.948,0.956,0.154,1.009
trial_log-200124-113632_task011_aud1_vis0_eps000_pp1_d2_test_SCT.txt,1,2,200124-113632,11,Retention,0,59.984,5806,0.606,0.952,0.263,1.57
trial_log-200124-113739_task011_aud1_vis0_eps000_pp1_d2_test_SCT.txt,1,2,200124-113739,11,Retention,0,59.99,5727,0.565,0.928,0.159,1.642
trial_log-200124-113848_task011_aud1_vis0_eps000_pp1_d2_test_SCT.txt,1,2,200124-113848,11,Retention,0,59.992,5733,0.528,0.947,0.195,1.792
