raw data file,score,cmax,tau,rmse
trial_log-200203-155529_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.347,   0.532,   0.007,   1.532
trial_log-200203-155638_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.351,   0.527,  -0.024,   1.502
trial_log-200203-155745_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.533,   0.579,  -0.038,   1.085
trial_log-200203-155856_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.520,   0.625,  -0.032,   1.202
trial_log-200203-160017_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.387,   0.525,  -0.018,   1.354
trial_log-200203-160301_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.432,   0.591,   0.061,   1.369
trial_log-200203-160409_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.401,   0.482,  -0.035,   1.203
trial_log-200203-160517_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.452,   0.579,  -0.029,   1.280
trial_log-200203-160626_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.309,   0.491,  -0.164,   1.590
trial_log-200203-160744_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.308,   0.473,  -0.051,   1.538
trial_log-200203-160852_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.461,   0.626,  -0.069,   1.357
trial_log-200203-161000_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.519,   0.684,  -0.034,   1.317
trial_log-200203-161111_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.522,   0.693,  -0.005,   1.328
trial_log-200203-161221_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.448,   0.528,   0.017,   1.178
trial_log-200203-161329_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.282,   0.375,   0.060,   1.330
trial_log-200203-161704_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.456,   0.578,  -0.054,   1.267
trial_log-200203-161812_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.441,   0.588,   0.080,   1.335
trial_log-200203-161920_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.481,   0.619,  -0.094,   1.286
trial_log-200203-162032_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.588,   0.684,   0.027,   1.162
trial_log-200203-162140_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.389,   0.524,  -0.111,   1.348
trial_log-200203-162251_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.436,   0.540,  -0.041,   1.237
trial_log-200203-162400_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.442,   0.586,  -0.068,   1.327
trial_log-200203-162507_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.548,   0.625,   0.017,   1.140
trial_log-200203-162616_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.542,   0.624,   0.028,   1.152
trial_log-200203-162725_task025_aud1_vis0_eps070_pp4_d1_.txt,   0.422,   0.491,  -0.015,   1.163
trial_log-200129-133850_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.440,   0.561,  -0.051,   1.276
trial_log-200129-134007_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.394,   0.599,   0.102,   1.518
trial_log-200129-134119_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.454,   0.620,   0.003,   1.366
trial_log-200129-134226_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.374,   0.526,  -0.002,   1.406
trial_log-200129-134333_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.309,   0.497,  -0.021,   1.608
trial_log-200129-134445_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.470,   0.593,   0.003,   1.261
trial_log-200129-134554_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.365,   0.548,  -0.050,   1.502
trial_log-200129-134716_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.389,   0.646,  -0.084,   1.661
trial_log-200129-134825_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.355,   0.548,  -0.023,   1.545
trial_log-200129-134932_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.282,   0.492,  -0.047,   1.745
trial_log-200129-140245_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.422,   0.540,   0.100,   1.280
trial_log-200129-140352_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.468,   0.585,   0.017,   1.249
trial_log-200129-140500_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.438,   0.545,  -0.008,   1.244
trial_log-200129-140608_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.381,   0.534,  -0.039,   1.400
trial_log-200129-140714_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.417,   0.579,   0.101,   1.386
trial_log-200129-140823_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.323,   0.494,   0.131,   1.528
trial_log-200129-140932_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.266,   0.481,   0.030,   1.806
trial_log-200129-141039_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.339,   0.474,   0.011,   1.398
trial_log-200129-141145_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.319,   0.669,  -0.048,   2.100
trial_log-200129-141251_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.317,   0.511,  -0.015,   1.609
trial_log-200129-141447_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.334,   0.498,   0.099,   1.491
trial_log-200129-141557_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.411,   0.652,   0.113,   1.589
trial_log-200129-141703_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.324,   0.533,  -0.030,   1.644
trial_log-200129-141810_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.217,   0.480,  -0.056,   2.211
trial_log-200129-141921_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.443,   0.633,  -0.089,   1.428
trial_log-200129-142028_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.159,   0.337,   0.034,   2.120
trial_log-200129-142142_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.331,   0.617,   0.006,   1.863
trial_log-200129-142249_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.243,   0.484,   0.012,   1.993
trial_log-200129-142355_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.316,   0.583,  -0.020,   1.846
trial_log-200129-142501_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.333,   0.602,  -0.062,   1.809
trial_log-200129-142914_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.342,   0.484,   0.012,   1.416
trial_log-200129-143021_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.324,   0.511,   0.160,   1.579
trial_log-200129-143127_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.329,   0.545,  -0.015,   1.658
trial_log-200129-143233_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.371,   0.529,  -0.054,   1.424
trial_log-200129-143341_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.283,   0.549,  -0.049,   1.938
trial_log-200129-143449_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.253,   0.513,  -0.049,   2.032
trial_log-200129-143556_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.302,   0.584,  -0.039,   1.936
trial_log-200129-143705_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.222,   0.371,   0.105,   1.676
trial_log-200129-143812_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.334,   0.537,   0.119,   1.609
trial_log-200129-143920_task030_aud1_vis0_eps000_pp5_d1_.txt,   0.289,   0.518,   0.139,   1.790
trial_log-200122-095923_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.180,   0.377,   0.003,   2.099
trial_log-200122-100058_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.288,   0.502,  -0.263,   1.741
trial_log-200122-100213_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.303,   0.431,  -0.341,   1.422
trial_log-200122-100323_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.298,   0.502,  -0.281,   1.685
trial_log-200122-100433_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.281,   0.476,  -0.383,   1.693
trial_log-200122-100541_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.270,   0.469,  -0.087,   1.736
trial_log-200122-100659_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.227,   0.360,  -0.077,   1.582
trial_log-200122-100805_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.247,   0.437,  -0.142,   1.768
trial_log-200122-100920_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.189,   0.354,  -0.160,   1.875
trial_log-200122-101031_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.248,   0.432,  -0.177,   1.740
trial_log-200122-101646_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.345,   0.578,  -0.064,   1.674
trial_log-200122-101808_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.248,   0.421,  -0.146,   1.698
trial_log-200122-101919_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.300,   0.532,  -0.088,   1.774
trial_log-200122-102028_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.361,   0.540,  -0.015,   1.494
trial_log-200122-102203_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.380,   0.554,  -0.027,   1.459
trial_log-200122-102311_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.323,   0.472,  -0.122,   1.459
trial_log-200122-102419_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.319,   0.456,   0.007,   1.428
trial_log-200122-102525_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.434,   0.596,  -0.158,   1.374
trial_log-200122-102636_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.304,   0.480,  -0.085,   1.580
trial_log-200122-102748_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.348,   0.508,  -0.216,   1.462
trial_log-200122-103041_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.361,   0.534,  -0.156,   1.476
trial_log-200122-103149_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.248,   0.395,  -0.135,   1.592
trial_log-200122-103254_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.303,   0.464,  -0.093,   1.534
trial_log-200122-103400_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.308,   0.496,  -0.123,   1.611
trial_log-200122-103642_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.280,   0.403,  -0.057,   1.439
trial_log-200122-103755_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.291,   0.359,  -0.038,   1.236
trial_log-200122-103909_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.330,   0.501,  -0.154,   1.517
trial_log-200122-104029_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.323,   0.435,  -0.052,   1.349
trial_log-200122-104139_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.300,   0.405,  -0.069,   1.351
trial_log-200122-104246_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.392,   0.470,   0.047,   1.200
trial_log-200122-105211_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.297,   0.394,  -0.008,   1.327
trial_log-200122-105505_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.413,   0.546,  -0.039,   1.323
trial_log-200122-105631_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.435,   0.497,  -0.039,   1.141
trial_log-200122-105739_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.345,   0.488,  -0.086,   1.415
trial_log-200122-105857_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.370,   0.496,  -0.174,   1.342
trial_log-200122-110012_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.359,   0.468,  -0.085,   1.303
trial_log-200122-110121_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.402,   0.525,  -0.170,   1.307
trial_log-200122-110232_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.337,   0.434,  -0.147,   1.288
trial_log-200122-110354_task025_aud1_vis0_eps070_pp6_d1_.txt,   0.353,   0.418,  -0.240,   1.184
trial_log-200122-122400_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.296,   0.491,  -0.017,   1.660
trial_log-200122-122525_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.368,   0.609,   0.058,   1.656
trial_log-200122-122640_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.274,   0.538,  -0.065,   1.962
trial_log-200122-122751_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.265,   0.561,  -0.082,   2.122
trial_log-200122-122904_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.246,   0.495,  -0.011,   2.013
trial_log-200122-123016_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.235,   0.581,  -0.012,   2.467
