"pp","task_label","Training","score_PostTest","score_PreTest","score_Retention","c_PostTest","c_PreTest","c_Retention","pitch_error_PostTest","pitch_error_PreTest","pitch_error_Retention"
13,"Periodic Fadeout (SCT)","Periodic Fixed",0.446333333333333,0.2808,0.4486,0.927,0.9016,0.9068,2.08033333333333,3.2616,2.0882
13,"Periodic Fixed","Periodic Fixed",0.438666666666667,0.25,0.4252,0.879666666666667,0.7212,0.8856,2.048,2.9144,2.0898
14,"Chaotic","Chaotic Interactive",0.436666666666667,0.311,0.3426,0.566333333333333,0.4986,0.5018,1.316,1.616,1.482
14,"Chaotic Visual","Chaotic Interactive",1.62833333333333,1.352,1.4702,0.608,0.5438,0.5782,0.373333333333333,0.4018,0.3936
14,"Periodic Fadeout (SCT)","Chaotic Interactive",0.270333333333333,0.1012,0.3922,0.846,0.6092,0.8636,3.195,5.9408,2.2224
14,"Periodic Fixed","Chaotic Interactive",0.452666666666667,0.2716,0.2442,0.741,0.6084,0.5988,1.65766666666667,2.323,2.4572
15,"Chaotic","Periodic Fixed",0.354666666666667,0.3226,0.3668,0.411333333333333,0.4086,0.4438,1.16033333333333,1.2726,1.2162
15,"Chaotic Visual","Periodic Fixed",1.53366666666667,1.4464,1.5958,0.589333333333333,0.5604,0.6044,0.384,0.3894,0.3796
15,"Periodic Fadeout (SCT)","Periodic Fixed",0.428333333333333,0.226,0.4674,0.883,0.6846,0.9226,2.08,3.2056,1.977
15,"Periodic Fixed","Periodic Fixed",0.464666666666667,0.3828,0.5132,0.657666666666667,0.6558,0.7236,1.582,1.7636,1.449
17,"Chaotic","Chaotic Interactive",0.412666666666667,0.2892,0.3412,0.479666666666667,0.4368,0.408,1.16466666666667,1.538,1.197
17,"Chaotic Visual","Chaotic Interactive",1.32933333333333,1.543,1.4548,0.478333333333333,0.604,0.517,0.369333333333333,0.3898,0.3574
17,"Periodic Fadeout (SCT)","Chaotic Interactive",0.207666666666667,0.1706,0.1656,0.609,0.6038,0.5198,2.98366666666667,3.5866,3.155
17,"Periodic Fixed","Chaotic Interactive",0.379666666666667,0.3876,0.5048,0.680666666666667,0.7264,0.722,1.90966666666667,1.8884,1.4332
18,"Chaotic","Periodic Fixed",0.333666666666667,0.2788,0.1992,0.414,0.4444,0.348,1.239,1.6442,1.7518
18,"Chaotic Visual","Periodic Fixed",1.316,1.3606,1.608,0.501666666666667,0.5488,0.6182,0.381333333333333,0.4046,0.3848
18,"Periodic Fadeout (SCT)","Periodic Fixed",0.429,0.2516,0.4286,0.887333333333333,0.7908,0.8796,2.06866666666667,3.1938,2.058
18,"Periodic Fixed","Periodic Fixed",0.358,0.4066,0.2638,0.838,0.8176,0.5662,2.369,2.0126,2.1554
19,"Chaotic","Chaotic Non-interactive",0.195,0.1616,0.2296,0.415666666666667,0.4032,0.405,2.20433333333333,2.5256,1.8198
19,"Chaotic Visual","Chaotic Non-interactive",1.90866666666667,1.6726,1.7752,0.669666666666667,0.6164,0.6258,0.351,0.3704,0.353
19,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.382,0.2738,0.2898,0.896,0.9344,0.9066,2.39066666666667,3.4998,3.1666
19,"Periodic Fixed","Chaotic Non-interactive",0.409,0.4685,0.2798,0.827333333333333,0.7765,0.9056,2.06033333333333,1.66925,3.2714
20,"Chaotic","Chaotic Non-interactive",0.246666666666667,0.2168,0.34,0.366333333333333,0.3652,0.4222,1.50266666666667,1.7032,1.2476
20,"Chaotic Visual","Chaotic Non-interactive",1.44533333333333,1.6468,1.725,0.516333333333333,0.5834,0.5972,0.357,0.3554,0.3474
20,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.365333333333333,0.358,0.4014,0.903666666666667,0.8514,0.9078,2.517,2.5688,2.287
20,"Periodic Fixed","Chaotic Non-interactive",0.358,0.3566,0.3392,0.794666666666667,0.8202,0.6492,2.25566666666667,2.3198,1.915
21,"Chaotic","Periodic Fixed",0.419,0.2696,0.4034,0.538,0.4914,0.5724,1.286,1.8272,1.4718
21,"Chaotic Visual","Periodic Fixed",1.349,1.366,1.6384,0.615333333333333,0.6004,0.6052,0.462,0.4412,0.3706
21,"Periodic Fadeout (SCT)","Periodic Fixed",0.190666666666667,0.1802,0.3264,0.719333333333333,0.6748,0.8028,3.82466666666667,3.8516,2.563
21,"Periodic Fixed","Periodic Fixed",0.420333333333333,0.2568,0.4638,0.759333333333333,0.5538,0.779,1.833,2.2116,1.7318
